"name","nickname","wins","losses","draws","height_cm","weight_in_kg","reach_in_cm","stance","date_of_birth","significant_strikes_landed_per_minute","significant_striking_accuracy","significant_strikes_absorbed_per_minute","significant_strike_defence","average_takedowns_landed_per_15_minutes","takedown_accuracy","takedown_defense","average_submissions_attempted_per_15_minutes"
"Waylon Lowe","","16","7","0","170.18","65.77","","Southpaw","1980-10-31","1.88","55.0","2.4","53.0","4.47","55.0","83.0","0.3"
"Gabe Green","Gifted","11","5","0","177.8","77.11","185.42","Switch","1993-05-02","6.28","45.0","6.95","47.0","0.83","50.0","53.0","0.3"
"Keita Nakamura","K-Taro","34","10","2","180.34","77.11","185.42","Southpaw","1984-05-22","2.23","36.0","3.2","58.0","1.65","48.0","63.0","0.3"
"Joselyne Edwards","La Pantera","13","5","0","172.72","61.23","177.8","Orthodox","1995-09-29","4.71","52.0","3.36","50.0","1.0","33.0","64.0","0.3"
"Daniel Zellhuber","Golden Boy","14","1","0","185.42","70.31","195.58","Switch","1999-07-07","5.26","39.0","4.79","53.0","0.28","33.0","94.0","0.3"
"Heather Clark","Hurricane","7","6","0","167.64","52.16","162.56","Orthodox","1980-09-19","3.69","49.0","5.62","50.0","0.33","4.0","80.0","0.3"
"Amar Suloev","","24","7","0","175.26","83.01","","Orthodox","1976-07-01","1.98","37.0","2.19","70.0","0.27","100.0","88.0","0.3"
"Pete Spratt","The Secret Weapon","25","23","0","175.26","77.11","","Orthodox","1971-01-09","1.63","48.0","1.33","55.0","0.3","100.0","46.0","0.3"
"John Franchi","","6","2","0","167.64","65.77","170.18","Orthodox","1982-07-16","1.83","48.0","2.59","48.0","2.68","80.0","40.0","0.3"
"Tiago dos Santos e Silva","Trator","20","7","2","175.26","65.77","177.8","Orthodox","1987-04-12","3.69","35.0","4.23","59.0","0.63","11.0","33.0","0.3"
"Rinat Fakhretdinov","Gladiator","21","1","1","182.88","77.11","187.96","Orthodox","1991-09-28","4.05","56.0","2.16","52.0","4.25","46.0","100.0","0.3"
"Frankie Edgar","The Answer","23","11","1","167.64","61.23","172.72","Orthodox","1981-10-16","3.77","40.0","2.82","65.0","2.29","31.0","65.0","0.3"
"Martin Buday","Badys","13","1","0","193.04","120.2","195.58","Orthodox","1991-11-11","5.62","52.0","5.4","55.0","0.3","50.0","100.0","0.3"
"Conor Heun","Hurricane","9","5","0","177.8","70.31","","Orthodox","1979-02-11","2.92","36.0","3.66","54.0","2.45","31.0","33.0","0.3"
"Hannah Cifers","Shockwave","10","7","0","154.94","52.16","157.48","Orthodox","1992-06-26","4.99","44.0","5.39","52.0","0.26","100.0","64.0","0.3"
"Jan Blachowicz","","29","10","1","187.96","92.99","198.12","Orthodox","1983-02-24","3.41","50.0","2.91","53.0","1.09","50.0","68.0","0.3"
"Ian Loveland","The Barn Owl","18","10","0","172.72","65.77","","Orthodox","1983-09-07","2.71","40.0","2.36","64.0","1.0","37.0","69.0","0.3"
"Carlos Candelario","The Cannon","8","3","0","172.72","56.7","172.72","Southpaw","1991-06-04","3.97","46.0","5.17","44.0","2.28","36.0","53.0","0.3"
"Max Griffin","Pain","19","10","0","180.34","77.11","193.04","Orthodox","1985-11-29","4.09","49.0","3.94","57.0","1.48","41.0","69.0","0.3"
"Neil Magny","The Haitian Sensation","28","12","0","190.5","77.11","203.2","Orthodox","1987-08-03","3.45","46.0","2.4","53.0","2.22","40.0","55.0","0.3"
"Nazim Sadykhov","Black Wolf","9","1","1","177.8","70.31","175.26","Southpaw","1994-05-16","4.94","48.0","5.72","48.0","1.71","62.0","75.0","0.3"
"Cory Sandhagen","","17","4","0","180.34","61.23","177.8","Switch","1992-04-20","5.33","44.0","3.4","58.0","1.36","33.0","64.0","0.3"
"Trevin Giles","","16","5","0","182.88","77.11","187.96","Orthodox","1992-08-06","2.97","53.0","2.09","59.0","1.27","55.0","71.0","0.3"
"Frankie Perez","","10","4","0","180.34","70.31","185.42","Orthodox","1989-05-11","1.64","41.0","2.17","54.0","1.75","41.0","50.0","0.3"
"Dan Ige","50K","17","7","0","170.18","65.77","180.34","Orthodox","1991-08-06","3.76","45.0","3.53","57.0","1.07","26.0","58.0","0.3"
"Nah-Shon Burrell","The Rock n Rolla","15","7","0","180.34","77.11","","Orthodox","1990-02-05","4.83","47.0","3.45","56.0","0.0","0.0","52.0","0.3"
"Alex Da Silva","Leko","21","4","0","172.72","70.31","185.42","Orthodox","1996-02-04","2.14","46.0","2.52","56.0","1.97","43.0","76.0","0.3"
"Bruno Santos","Carioca","15","2","0","175.26","83.91","","Orthodox","1987-07-17","1.18","46.0","2.27","56.0","3.0","37.0","66.0","0.3"
"Andre Fili","Touchy","22","10","0","180.34","65.77","187.96","Orthodox","1990-06-25","3.83","37.0","4.13","51.0","2.22","47.0","69.0","0.3"
"Carlos Hernandez","","9","2","0","172.72","56.7","170.18","Orthodox","1993-10-25","5.51","46.0","4.41","49.0","1.24","16.0","65.0","0.3"
"Julia Avila","Raging Panda","9","3","0","170.18","61.23","172.72","Orthodox","1988-05-11","2.59","43.0","2.86","50.0","0.54","33.0","50.0","0.3"
"Tracy Cortez","","11","1","0","165.1","56.7","165.1","Orthodox","1993-12-10","4.11","53.0","2.79","60.0","2.33","46.0","75.0","0.3"
"Deividas Taurosevicius","","17","5","0","175.26","65.77","172.72","Southpaw","1977-08-28","2.13","43.0","1.82","59.0","2.0","28.0","50.0","0.3"
"Enrique Barzola","El Fuerte","17","5","2","170.18","65.77","177.8","Orthodox","1989-04-28","3.91","41.0","2.97","68.0","4.2","45.0","66.0","0.3"
"Nick Ring","The Promise","14","4","0","182.88","83.91","187.96","Southpaw","1979-02-10","3.52","42.0","3.48","62.0","1.36","36.0","52.0","0.3"
"Amir Sadollah","","6","5","0","177.8","77.11","190.5","Orthodox","1980-08-27","4.71","46.0","3.55","60.0","0.57","27.0","60.0","0.3"
"Carla Esparza","Cookie Monster","20","7","0","154.94","52.16","160.02","Orthodox","1987-10-10","2.16","40.0","2.69","55.0","3.22","35.0","47.0","0.3"
"Joanne Wood","JoJo","16","8","0","167.64","56.7","165.1","Orthodox","1985-12-23","6.93","51.0","4.72","51.0","1.57","54.0","59.0","0.3"
"Benito Lopez","Golden Boy","10","2","0","177.8","61.23","185.42","Switch","1994-04-06","4.39","45.0","5.18","56.0","0.0","0.0","73.0","0.3"
"Daniel Teymur","Kid Dynamite","7","4","0","165.1","65.77","175.26","Orthodox","1988-02-03","3.08","46.0","3.93","56.0","0.56","18.0","60.0","0.3"
"Dennis Siver","","23","11","0","167.64","65.77","177.8","Orthodox","1979-01-13","3.87","32.0","2.67","65.0","0.87","32.0","65.0","0.3"
"Jessin Ayari","","16","6","0","182.88","70.31","185.42","Orthodox","1992-05-31","3.53","37.0","3.59","58.0","0.0","0.0","50.0","0.3"
"Michael Bisping","The Count","30","9","0","185.42","83.91","190.5","Orthodox","1979-02-28","4.33","38.0","2.71","65.0","1.05","43.0","63.0","0.3"
"Movsar Evloev","","17","0","0","170.18","65.77","182.88","Orthodox","1994-02-11","4.57","49.0","2.74","61.0","4.71","50.0","71.0","0.3"
"Gilbert Melendez","El Nino","22","8","0","175.26","65.77","185.42","Orthodox","1982-04-12","3.44","33.0","2.53","63.0","1.64","41.0","71.0","0.2"
"Mike Davis","Beast Boy","10","2","0","182.88","70.31","182.88","Orthodox","1992-10-07","5.83","52.0","6.2","56.0","3.04","53.0","69.0","0.2"
"Henrique da Silva","Frankenstein","14","5","0","190.5","92.99","193.04","Orthodox","1989-09-01","3.89","60.0","5.28","40.0","0.25","14.0","22.0","0.2"
"Will Campuzano","","14","6","0","175.26","56.7","177.8","Orthodox","1986-05-27","2.43","31.0","3.82","57.0","0.88","45.0","48.0","0.2"
"Vitor Miranda","Lex Luthor","12","5","0","185.42","83.91","195.58","Orthodox","1979-03-10","2.98","45.0","2.95","58.0","0.95","55.0","50.0","0.2"
"Khalid Taha","The Warrior","13","5","0","165.1","61.23","175.26","Orthodox","1992-02-15","2.64","32.0","4.12","46.0","0.0","0.0","61.0","0.2"
"Manny Tapia","The Mangler","12","14","1","165.1","61.23","170.18","Orthodox","1981-03-14","2.69","21.0","4.74","58.0","0.49","40.0","66.0","0.2"
"Nam Phan","","21","17","0","167.64","61.23","177.8","Orthodox","1983-03-13","4.52","37.0","6.55","59.0","0.18","18.0","60.0","0.2"
"Gina Mazany","Danger","7","6","0","167.64","56.7","172.72","Southpaw","1988-08-19","3.73","50.0","3.52","50.0","4.34","52.0","33.0","0.2"
"Omari Akhmedov","Wolverine","21","6","1","182.88","83.91","185.42","Orthodox","1987-10-12","2.97","34.0","2.84","55.0","2.58","45.0","65.0","0.2"
"Mike Perry","Platinum","14","8","0","177.8","77.11","180.34","Orthodox","1991-09-15","4.32","47.0","5.16","52.0","0.81","40.0","78.0","0.2"
"Douglas Silva de Andrade","D Silva","29","5","0","170.18","61.23","172.72","Orthodox","1985-06-22","3.66","38.0","3.99","58.0","0.61","46.0","70.0","0.2"
"Paul Felder","The Irish Dragon","17","6","0","180.34","70.31","177.8","Orthodox","1984-04-25","3.7","44.0","3.44","48.0","0.29","28.0","64.0","0.2"
"Trevin Jones","5 Star","13","10","0","170.18","61.23","177.8","Southpaw","1990-08-04","2.13","37.0","4.29","39.0","0.62","15.0","60.0","0.2"
"Hyun Gyu Lim","The Ace","13","7","1","190.5","77.11","195.58","Orthodox","1985-01-16","4.45","41.0","5.07","51.0","0.23","100.0","73.0","0.2"
"LC Davis","","23","8","0","172.72","61.23","175.26","Southpaw","1980-10-28","2.04","30.0","2.1","59.0","2.27","46.0","66.0","0.2"
"Nicholas Musoke","Nico","13","5","0","182.88","77.11","190.5","Orthodox","1986-04-05","3.56","35.0","3.8","57.0","1.16","19.0","82.0","0.2"
"Eric Shelton","Showtime","12","6","0","167.64","56.7","172.72","Orthodox","1991-02-02","2.57","42.0","1.88","63.0","2.83","51.0","46.0","0.2"
"Mara Romero Borella","","12","9","0","167.64","56.7","175.26","Orthodox","1986-06-03","2.54","37.0","2.48","71.0","1.83","44.0","66.0","0.2"
"Nick Maximov","","8","2","0","182.88","83.91","193.04","Southpaw","1997-12-23","1.93","45.0","2.64","46.0","4.16","45.0","35.0","0.2"
"Danielle Taylor","Dynamite","9","4","0","152.4","52.16","152.4","Orthodox","1989-10-25","2.75","29.0","3.31","71.0","0.2","20.0","70.0","0.2"
"Andrei Arlovski","The Pitbull","34","22","0","190.5","108.86","195.58","Orthodox","1979-02-04","3.78","45.0","3.2","57.0","0.39","36.0","76.0","0.2"
"Chris Beal","Real Deal","10","5","0","170.18","56.7","175.26","Orthodox","1985-08-06","3.45","35.0","3.18","61.0","1.6","58.0","78.0","0.2"
"Hannah Goldy","24K","6","4","0","162.56","52.16","154.94","Orthodox","1992-05-18","5.19","47.0","4.67","50.0","0.66","12.0","54.0","0.2"
"Danny Castillo","Last Call","17","10","0","175.26","70.31","180.34","Orthodox","1979-08-25","2.57","42.0","1.96","62.0","2.95","38.0","63.0","0.2"
"Karolina Kowalkiewicz","","16","7","0","160.02","52.16","162.56","Orthodox","1985-10-15","5.92","43.0","5.55","59.0","0.36","26.0","74.0","0.2"
"Michinori Tanaka","","11","3","0","165.1","61.23","170.18","Orthodox","1990-10-04","1.97","37.0","1.99","50.0","2.4","38.0","43.0","0.2"
"Randa Markos","Quiet Storm","11","12","1","162.56","52.16","160.02","Orthodox","1985-08-10","2.97","43.0","3.1","58.0","1.12","28.0","52.0","0.2"
"Jared Gooden","NiteTrain","23","9","0","182.88","77.11","195.58","Orthodox","1993-12-05","5.08","49.0","6.68","48.0","0.67","100.0","65.0","0.2"
"Makhmud Muradov","","26","8","0","187.96","83.91","190.5","Orthodox","1990-02-08","4.21","43.0","2.56","61.0","3.04","66.0","77.0","0.2"
"Seo Hee Ham","","17","8","0","157.48","52.16","157.48","Southpaw","1987-03-08","4.2","39.0","5.15","61.0","0.0","0.0","66.0","0.2"
"Richard Walsh","Filthy Rich","9","5","0","182.88","77.11","185.42","Orthodox","1988-12-01","3.84","46.0","2.72","58.0","1.55","40.0","66.0","0.2"
"Ismail Naurdiev","The Austrian Wonderboy","19","4","0","177.8","77.11","187.96","Orthodox","1996-08-18","3.17","52.0","1.3","68.0","1.25","71.0","70.0","0.2"
"Mark Hunt","Super Samoan","13","14","1","177.8","120.2","182.88","Orthodox","1974-03-23","2.81","43.0","2.9","51.0","0.51","55.0","64.0","0.2"
"Charles Johnson","InnerG","13","6","0","175.26","56.7","177.8","Switch","1991-01-10","4.34","55.0","3.27","54.0","0.19","14.0","62.0","0.2"
"Scott Holtzman","Hot Sauce","14","6","0","175.26","70.31","175.26","Orthodox","1983-09-30","4.32","47.0","3.66","55.0","1.88","56.0","67.0","0.2"
"Felicia Spencer","FeeNom","9","3","0","167.64","65.77","172.72","Orthodox","1990-11-29","3.21","48.0","4.54","45.0","1.18","18.0","27.0","0.2"
"Giga Chikadze","Ninja","15","3","0","182.88","65.77","187.96","Orthodox","1988-08-25","4.08","43.0","3.44","62.0","0.23","33.0","69.0","0.2"
"Colby Covington","Chaos","17","3","0","180.34","77.11","182.88","Orthodox","1988-02-22","4.1","39.0","3.05","55.0","4.05","45.0","72.0","0.2"
"Melvin Guillard","The Young Assassin","32","18","2","175.26","70.31","180.34","Orthodox","1983-03-30","2.96","40.0","1.85","66.0","1.3","63.0","61.0","0.2"
"Aleksandar Rakic","","14","3","0","193.04","92.99","198.12","Orthodox","1992-02-06","4.01","50.0","2.3","53.0","0.82","25.0","90.0","0.2"
"Tim Means","The Dirty Bird","33","15","1","187.96","77.11","190.5","Orthodox","1984-02-20","5.1","49.0","3.65","60.0","1.16","42.0","65.0","0.2"
"Zhalgas Zhumagulov","","14","9","0","162.56","56.7","167.64","Switch","1988-08-29","5.24","43.0","5.86","52.0","1.3","19.0","75.0","0.2"
"Tucker Lutz","Top Gun","12","4","0","172.72","65.77","182.88","Orthodox","1994-07-12","3.74","46.0","3.25","44.0","1.99","44.0","69.0","0.2"
"Impa Kasanganay","Tshilobo","9","2","0","180.34","77.11","190.5","Orthodox","1994-01-17","4.96","48.0","3.66","58.0","1.75","58.0","66.0","0.2"
"Mike Pierce","","17","7","0","172.72","77.11","180.34","Orthodox","1980-09-01","2.62","42.0","2.36","62.0","3.08","42.0","71.0","0.2"
"CJ Vergara","","12","4","1","167.64","56.7","172.72","Orthodox","1991-06-18","6.01","57.0","5.01","53.0","0.0","0.0","74.0","0.2"
"Luke Sanders","Cool Hand","13","5","0","167.64","61.23","170.18","Southpaw","1985-12-12","6.61","52.0","4.37","50.0","0.71","30.0","72.0","0.2"
"David Dvorak","Undertaker","20","6","0","165.1","56.7","172.72","Orthodox","1992-06-05","3.48","43.0","3.29","59.0","0.58","30.0","70.0","0.2"
"Javid Basharat","The Snow Leopard","14","0","0","175.26","61.23","175.26","Orthodox","1995-09-07","5.65","61.0","2.5","63.0","2.09","50.0","85.0","0.2"
"Tabatha Ricci","Baby Shark","9","2","0","154.94","52.16","154.94","Orthodox","1995-02-21","4.41","37.0","4.86","59.0","3.39","41.0","71.0","0.2"
"Kajan Johnson","Ragin'","23","13","1","180.34","70.31","190.5","Orthodox","1984-04-21","2.47","42.0","1.59","64.0","1.54","37.0","62.0","0.2"
"Danny Roberts","Hot Chocolate","18","8","0","185.42","77.11","187.96","Southpaw","1987-07-14","3.18","39.0","3.73","50.0","0.24","9.0","57.0","0.2"
"Daron Cruickshank","Detroit Superstar","18","10","0","172.72","70.31","182.88","Switch","1985-06-11","2.88","38.0","2.98","57.0","2.04","41.0","60.0","0.2"
"Ange Loosa","The Last Ninja","10","3","0","177.8","77.11","187.96","Orthodox","1993-03-18","6.32","46.0","6.88","51.0","2.25","45.0","100.0","0.2"
"Al Iaquinta","Raging","14","7","1","177.8","70.31","177.8","Orthodox","1987-04-30","4.06","40.0","4.53","61.0","0.63","18.0","74.0","0.2"
"Billy Evangelista","","13","3","0","172.72","70.31","172.72","Orthodox","1980-10-07","4.51","40.0","3.96","61.0","1.6","19.0","61.0","0.2"
"Anthony Njokuani","The Assassin","16","12","0","185.42","70.31","190.5","Orthodox","1980-03-01","3.94","46.0","2.41","65.0","0.5","45.0","53.0","0.2"
"Henry Cejudo","Triple C","16","3","0","162.56","61.23","162.56","Orthodox","1987-02-09","3.93","47.0","3.15","60.0","2.07","34.0","83.0","0.2"
"Elias Silverio","Xuxu","13","3","0","180.34","70.31","185.42","Orthodox","1986-09-22","3.67","49.0","2.97","51.0","1.62","38.0","85.0","0.2"
"Pat Barry","HD","8","7","0","180.34","106.59","187.96","Orthodox","1979-07-07","2.72","52.0","3.54","59.0","0.0","0.0","76.0","0.2"
"Jordan Espinosa","The Gamer","15","9","0","167.64","56.7","175.26","Orthodox","1989-11-08","4.22","52.0","2.94","57.0","0.75","28.0","70.0","0.2"
"Jake O'Brien","Irish","15","4","0","190.5","92.99","193.04","Orthodox","1984-09-25","1.31","31.0","1.92","69.0","6.39","54.0","25.0","0.2"
"Jessica Aguilar","Jag","20","8","0","160.02","52.16","160.02","Orthodox","1982-05-08","4.93","50.0","7.19","53.0","0.94","25.0","50.0","0.2"
"Cheyanne Vlismas","The Warrior Princess","7","3","0","160.02","52.16","160.02","Switch","1995-06-25","4.93","50.0","2.57","64.0","0.25","33.0","66.0","0.2"
"James Moontasri","Moon Walker","9","5","0","177.8","77.11","180.34","Switch","1988-04-10","2.39","48.0","3.86","40.0","0.0","0.0","79.0","0.2"
"Raphael Assuncao","","28","10","0","165.1","61.23","167.64","Orthodox","1982-07-19","3.22","42.0","2.5","66.0","1.65","39.0","78.0","0.2"
"Wu Yanan","Mulan","13","6","0","172.72","61.23","167.64","Orthodox","1996-04-18","4.23","41.0","4.95","49.0","0.62","30.0","63.0","0.2"
"Erik Perez","Goyito","17","6","0","172.72","61.23","172.72","Orthodox","1989-11-19","3.16","40.0","2.09","66.0","3.16","55.0","69.0","0.2"
"Davey Grant","Dangerous","15","7","0","172.72","61.23","175.26","Orthodox","1985-12-18","4.77","42.0","3.82","55.0","1.26","41.0","61.0","0.2"
"Mark De La Rosa","Bumblebee","11","5","0","167.64","61.23","165.1","Orthodox","1994-08-31","3.13","35.0","5.0","48.0","0.54","13.0","40.0","0.2"
"Sabina Mazo","Colombian Queen","9","4","0","170.18","56.7","177.8","Orthodox","1997-03-25","6.1","43.0","4.35","57.0","0.65","80.0","59.0","0.2"
"Rashid Magomedov","Highlander","20","2","0","175.26","70.31","177.8","Orthodox","1984-11-29","4.4","49.0","3.05","54.0","0.67","57.0","89.0","0.2"
"Antonio Arroyo","","9","5","0","190.5","83.91","185.42","Orthodox","1989-07-01","2.82","66.0","2.02","50.0","1.14","41.0","41.0","0.2"
"Kiyoshi Tamura","","32","13","3","180.34","83.91","","Southpaw","1969-12-17","2.44","53.0","1.44","60.0","0.58","60.0","45.0","0.2"
"Justin Ledet","El Blanco","9","4","0","193.04","92.99","203.2","Orthodox","1988-09-28","3.35","39.0","4.82","49.0","0.23","50.0","42.0","0.2"
"Josh Parisian","","15","7","0","193.04","120.2","200.66","Orthodox","1989-06-28","4.54","48.0","4.81","41.0","0.99","33.0","46.0","0.2"
"Vinc Pichel","From Hell","14","3","0","177.8","70.31","182.88","Orthodox","1982-11-23","3.56","47.0","2.5","58.0","3.0","54.0","23.0","0.2"
"James Te Huna","","16","9","0","187.96","83.91","190.5","Orthodox","1981-09-29","4.04","51.0","2.99","62.0","2.75","37.0","58.0","0.2"
"John Castaneda","Sexy Mexi","21","6","0","167.64","61.23","180.34","Switch","1991-12-18","4.79","50.0","4.99","56.0","1.92","37.0","71.0","0.2"
"Belal Muhammad","Remember the Name","23","3","0","180.34","77.11","182.88","Orthodox","1988-07-09","4.55","43.0","3.64","57.0","1.98","35.0","93.0","0.2"
"Leonardo Santos","","18","7","1","182.88","70.31","190.5","Orthodox","1980-02-05","2.82","46.0","3.4","54.0","0.88","25.0","86.0","0.2"
"Luis Saldana","","16","7","1","180.34","65.77","185.42","Orthodox","1991-01-27","5.16","50.0","3.65","60.0","0.64","17.0","44.0","0.2"
"Andre Soukhamthath","The Asian Sensation","13","8","0","175.26","61.23","177.8","Orthodox","1988-10-23","2.77","44.0","4.31","49.0","1.25","53.0","58.0","0.2"
"Travis Browne","Hapa","18","7","1","198.12","115.67","200.66","Orthodox","1982-07-17","2.93","41.0","4.31","42.0","1.21","68.0","75.0","0.2"
"Marina Rodriguez","","17","3","2","167.64","52.16","165.1","Orthodox","1987-04-29","4.77","48.0","2.89","56.0","0.25","42.0","66.0","0.2"
"Cyrille Diabate","The Snake","19","10","1","198.12","92.99","205.74","Southpaw","1973-10-06","4.06","71.0","1.78","60.0","1.17","83.0","53.0","0.2"
"Abdul Razak Alhassan","","12","6","0","177.8","83.91","185.42","Orthodox","1985-08-11","3.37","48.0","3.99","55.0","0.89","38.0","50.0","0.2"
"Elizabeth Phillips","","6","6","0","167.64","61.23","165.1","Orthodox","1986-08-20","2.6","33.0","3.07","58.0","0.75","25.0","53.0","0.2"
"Alexander Volkanovski","The Great","26","3","0","167.64","65.77","180.34","Orthodox","1988-09-29","6.19","57.0","3.42","58.0","1.84","37.0","70.0","0.2"
"Damir Hadzovic","The Bosnian Bomber","14","7","0","175.26","70.31","177.8","Orthodox","1986-08-08","3.36","48.0","3.26","62.0","0.78","55.0","34.0","0.2"
"Johnny Case","Hollywood","22","6","0","177.8","70.31","182.88","Orthodox","1989-06-28","3.95","38.0","2.66","61.0","1.7","45.0","72.0","0.2"
"Loma Lookboonmee","","8","3","0","154.94","52.16","154.94","Orthodox","1996-01-18","4.14","58.0","2.58","52.0","2.04","50.0","74.0","0.2"
"Cheick Kongo","","27","10","2","193.04","108.86","208.28","Orthodox","1975-05-17","3.33","56.0","1.28","54.0","2.3","56.0","52.0","0.2"
"Raulian Paiva","","21","5","0","172.72","61.23","175.26","Orthodox","1995-10-17","4.14","42.0","5.01","48.0","0.65","23.0","77.0","0.2"
"Brandon Vera","The Truth","15","7","0","190.5","104.33","198.12","Orthodox","1977-10-10","3.03","56.0","2.81","52.0","0.7","53.0","59.0","0.2"
"Song Yadong","Kung Fu Kid","20","7","1","172.72","61.23","170.18","Orthodox","1997-12-02","4.61","42.0","3.77","59.0","0.53","55.0","72.0","0.2"
"Marco Beltran","Psycho","8","6","0","172.72","56.7","175.26","Orthodox","1986-05-18","2.07","37.0","1.93","63.0","0.7","50.0","46.0","0.2"
"Sean Strickland","","28","5","0","185.42","83.91","193.04","Orthodox","1991-02-27","5.82","41.0","4.24","63.0","0.92","64.0","84.0","0.2"
"Patrick Cote","The Predator","23","11","0","180.34","77.11","190.5","Orthodox","1980-02-29","2.81","48.0","3.21","48.0","0.68","20.0","43.0","0.2"
"Austin Arnett","","16","6","0","182.88","65.77","182.88","Orthodox","1991-10-22","4.52","41.0","6.38","62.0","0.44","18.0","57.0","0.2"
"Ricky Turcios","","13","3","0","175.26","61.23","180.34","Orthodox","1993-06-05","5.08","37.0","3.7","55.0","1.0","25.0","45.0","0.2"
"Phil Hawes","No Hype","12","5","0","182.88","83.91","195.58","Orthodox","1989-01-08","5.55","59.0","3.7","55.0","2.28","36.0","100.0","0.2"
"Jordan Mein","Young Gun","31","12","0","182.88","77.11","185.42","Orthodox","1989-10-10","3.35","44.0","2.55","69.0","1.56","58.0","66.0","0.2"
"Ryan LaFlare","","14","3","0","185.42","77.11","187.96","Southpaw","1983-10-01","2.89","40.0","1.86","63.0","2.13","44.0","58.0","0.2"
"Ronnie Lawrence","The Heat","8","2","0","172.72","61.23","172.72","Switch","1992-06-13","2.78","56.0","1.75","52.0","6.75","77.0","45.0","0.2"
"Albert Morales","The Warrior","7","4","1","175.26","61.23","182.88","Orthodox","1991-05-25","3.81","35.0","3.96","56.0","0.91","35.0","70.0","0.2"
"Viviane Pereira","Sucuri","13","2","0","154.94","52.16","160.02","Orthodox","1993-08-28","2.7","30.0","4.48","58.0","0.25","100.0","28.0","0.2"
"Mateusz Gamrot","Gamer","23","2","0","177.8","70.31","177.8","Southpaw","1990-12-11","2.97","50.0","3.17","60.0","4.36","30.0","90.0","0.2"
"Da Woon Jung","Sseda","15","5","1","193.04","92.99","198.12","Orthodox","1993-12-07","3.49","43.0","3.89","51.0","1.9","50.0","77.0","0.2"
"Jamall Emmers","Pretty Boy","20","7","0","177.8","65.77","187.96","Orthodox","1989-07-24","5.1","48.0","3.79","57.0","1.96","40.0","90.0","0.2"
"Alexander Volkov","Drago","37","10","0","200.66","113.4","203.2","Orthodox","1988-10-24","5.1","57.0","3.0","54.0","0.49","63.0","73.0","0.2"
"Igor Pokrajac","The Duke","28","13","0","182.88","92.99","187.96","Orthodox","1979-01-02","2.25","45.0","4.26","40.0","0.87","29.0","51.0","0.2"
"Eryk Anders","Ya Boi","15","8","0","185.42","83.91","190.5","Southpaw","1987-04-21","3.56","47.0","4.39","50.0","1.54","24.0","79.0","0.1"
"Sam Stout","Hands of Stone","20","12","1","175.26","70.31","177.8","Orthodox","1984-04-23","4.17","28.0","4.08","57.0","0.63","38.0","77.0","0.1"
"George Roop","","15","13","1","185.42","61.23","182.88","Orthodox","1981-11-10","3.43","34.0","2.47","60.0","1.05","57.0","59.0","0.1"
"Alex Garcia","The Dominican Nightmare","15","6","0","175.26","77.11","182.88","Orthodox","1987-07-14","1.81","31.0","3.03","59.0","3.72","52.0","66.0","0.1"
"Matthew Semelsberger","Semi The Jedi","11","6","0","185.42","77.11","190.5","Switch","1992-11-23","4.06","43.0","4.36","55.0","1.02","58.0","50.0","0.1"
"Aaron Riley","","30","14","1","172.72","70.31","175.26","Southpaw","1980-12-09","3.45","34.0","3.78","61.0","1.18","34.0","60.0","0.1"
"Mizuto Hirota","Pugnus","18","10","2","170.18","70.31","170.18","Orthodox","1981-05-05","3.36","40.0","3.5","54.0","1.36","50.0","58.0","0.1"
"Tecia Torres","The Tiny Tornado","13","6","0","154.94","52.16","152.4","Orthodox","1989-08-16","4.74","48.0","3.59","61.0","0.66","14.0","61.0","0.1"
"Marcin Tybura","Tybur","24","8","0","190.5","112.94","198.12","Orthodox","1985-11-09","3.55","48.0","3.35","55.0","1.39","33.0","79.0","0.1"
"Rustam Khabilov","Tiger","24","4","0","172.72","70.31","185.42","Orthodox","1986-11-04","1.98","34.0","2.16","65.0","3.95","41.0","61.0","0.1"
"Duane Ludwig","Bang","21","14","0","177.8","77.11","177.8","Orthodox","1978-08-04","4.62","44.0","3.05","57.0","0.43","25.0","59.0","0.1"
"Frankie Saenz","","13","7","0","167.64","61.23","167.64","Orthodox","1980-08-12","3.94","47.0","3.5","52.0","1.74","31.0","61.0","0.1"
"Daniel Rodriguez","D-Rod","17","4","0","185.42","77.11","187.96","Southpaw","1986-12-31","7.3","50.0","5.28","56.0","0.62","50.0","63.0","0.1"
"Lorenz Larkin","The Monsoon","18","6","0","180.34","77.11","182.88","Orthodox","1986-09-03","3.53","46.0","2.74","63.0","0.27","42.0","79.0","0.1"
"Blagoy Ivanov","Baga","19","6","0","180.34","113.4","185.42","Southpaw","1986-10-09","3.25","40.0","4.2","53.0","0.69","40.0","61.0","0.1"
"Eddie Wineland","","24","16","1","170.18","61.23","175.26","Orthodox","1984-06-26","3.4","29.0","3.76","68.0","0.34","33.0","86.0","0.1"
"Justine Kish","","7","4","0","165.1","56.7","162.56","Orthodox","1988-04-13","4.51","48.0","4.59","57.0","0.87","33.0","50.0","0.1"
"Brian Ebersole","Bad Boy","51","18","1","182.88","77.11","185.42","Southpaw","1980-11-27","2.32","49.0","2.14","56.0","1.7","23.0","61.0","0.1"
"Patrick Cummins","Durkin","10","7","0","187.96","92.99","193.04","Orthodox","1980-11-16","4.26","50.0","3.35","55.0","4.49","41.0","28.0","0.1"
