VARIABLE,VARIABLE_NAME,ITEM_DESCRIPTION,MEASURE,UNIT,FREQUENCY,MEASUREMENT_TYPE,GEO_COVERAGE,SEASONALLY_ADJUSTED,SOURCE
harmonized_index_of_consumer_prices_baby_food_monthly_index_eurostat_neither_seasonally_nor_working_day_adjusted_index_2015=100,"Harmonized Index Of Consumer Prices - Baby Food, Monthly Index, Eurostat, Neither Seasonally Nor Working Day Adjusted, Index, 2015=100",Baby Food,Harmonized Index Of Consumer Prices,"Index, 2015=100",Monthly,Index (Average of observations through period),,Not seasonally adjusted,Eurostat
harmonized_index_of_consumer_prices_dried_smoked_or_salted_fish_and_seafood_annual_rate_of_change_eurostat_neither_seasonally_nor_working_day_adjusted_percent,"Harmonized Index Of Consumer Prices - Dried, Smoked Or Salted Fish And Seafood, Annual Rate Of Change, Eurostat, Neither Seasonally Nor Working Day Adjusted, Percent","Dried, Smoked Or Salted Fish And Seafood",Harmonized Index Of Consumer Prices,Percent,Monthly,Annual rate of change (Average of observations through period),,Not seasonally adjusted,Eurostat
harmonized_index_of_consumer_prices_wine_annual_rate_of_change_eurostat_neither_seasonally_nor_working_day_adjusted_percent,"Harmonized Index Of Consumer Prices - Wine, Annual Rate Of Change, Eurostat, Neither Seasonally Nor Working Day Adjusted, Percent",Wine,Harmonized Index Of Consumer Prices,Percent,Monthly,Annual rate of change (Average of observations through period),,Not seasonally adjusted,Eurostat
harmonized_index_of_consumer_prices_portable_sound_and_vision_devices_annual_rate_of_change_eurostat_neither_seasonally_nor_working_day_adjusted_count,"Harmonized Index Of Consumer Prices - Portable Sound And Vision Devices, Annual Rate Of Change, Eurostat, Neither Seasonally Nor Working Day Adjusted, Count",Portable Sound And Vision Devices,Harmonized Index Of Consumer Prices,Count,Monthly,Annual rate of change (Average of observations through period),,Not seasonally adjusted,Eurostat
harmonized_index_of_consumer_prices_fully_administered_prices_annual_rate_of_change_eurostat_neither_seasonally_nor_working_day_adjusted_percent,"Harmonized Index Of Consumer Prices - Fully Administered Prices, Annual Rate Of Change, Eurostat, Neither Seasonally Nor Working Day Adjusted, Percent",Fully Administered Prices,Harmonized Index Of Consumer Prices,Percent,Monthly,Annual rate of change (Average of observations through period),,Not seasonally adjusted,Eurostat
harmonized_index_of_consumer_prices_musical_instruments_index_eurostat_neither_seasonally_nor_working_day_adjusted_index_2015=100,"Harmonized Index Of Consumer Prices - Musical Instruments, Index, Eurostat, Neither Seasonally Nor Working Day Adjusted, Index, 2015=100",Musical Instruments,Harmonized Index Of Consumer Prices,"Index, 2015=100",Monthly,Index (Average of observations through period),,Not seasonally adjusted,Eurostat
harmonized_index_of_consumer_prices_repair_of_telephone_or_telefax_equipment_annual_rate_of_change_eurostat_neither_seasonally_nor_working_day_adjusted_percent,"Harmonized Index Of Consumer Prices - Repair Of Telephone Or Telefax Equipment, Annual Rate Of Change, Eurostat, Neither Seasonally Nor Working Day Adjusted, Percent",Repair Of Telephone Or Telefax Equipment,Harmonized Index Of Consumer Prices,Percent,Monthly,Annual rate of change (Average of observations through period),,Not seasonally adjusted,Eurostat
harmonized_index_of_consumer_prices_other_services_for_maintenance_and_repair_of_the_dwelling_annual_rate_of_change_eurostat_neither_seasonally_nor_working_day_adjusted_percent,"Harmonized Index Of Consumer Prices - Other Services For Maintenance And Repair Of The Dwelling, Annual Rate Of Change, Eurostat, Neither Seasonally Nor Working Day Adjusted, Percent",Other Services For Maintenance And Repair Of The Dwelling,Harmonized Index Of Consumer Prices,Percent,Monthly,Annual rate of change (Average of observations through period),,Not seasonally adjusted,Eurostat
harmonized_index_of_consumer_prices_purchase_of_vehicles_index_eurostat_neither_seasonally_nor_working_day_adjusted_index_2015=100,"Harmonized Index Of Consumer Prices - Purchase Of Vehicles, Index, Eurostat, Neither Seasonally Nor Working Day Adjusted, Index, 2015=100",Purchase Of Vehicles,Harmonized Index Of Consumer Prices,"Index, 2015=100",Monthly,Index (Average of observations through period),,Not seasonally adjusted,Eurostat
harmonized_index_of_consumer_prices_pizza_and_quiche_annual_rate_of_change_eurostat_neither_seasonally_nor_working_day_adjusted_percent,"Harmonized Index Of Consumer Prices - Pizza And Quiche, Annual Rate Of Change, Eurostat, Neither Seasonally Nor Working Day Adjusted, Percent",Pizza And Quiche,Harmonized Index Of Consumer Prices,Percent,Monthly,Annual rate of change (Average of observations through period),,Not seasonally adjusted,Eurostat
harmonized_index_of_consumer_prices_major_durables_for_inoutdoor_recreation_incl_musical_instr_index_eurostat_neither_seasonally_nor_working_day_adjusted_index_2015=100,"Harmonized Index Of Consumer Prices - Major Durables For In/Outdoor Recreation Incl. Musical Instr., Index, Eurostat, Neither Seasonally Nor Working Day Adjusted, Index, 2015=100",Major Durables For In/Outdoor Recreation Incl. Musical Instr.,Harmonized Index Of Consumer Prices,"Index, 2015=100",Monthly,Index (Average of observations through period),,Not seasonally adjusted,Eurostat
national_excluding_capital_city_transaction_value_index_residential_property_flats_new_and_existing_collected_from_organisation_for_economic_cooperation_and_development_oecd_offer_based_quarterly,"National excluding capital city; Transaction value - Index; Residential property, Flats, new and existing; Collected from Organisation for Economic Cooperation and Development (OECD) (Offer based), Quarterly",,"Residential property, Flats, new and existing","Index, 2015=100",Quarterly,"Transaction value (Offer based) - Non transformed data, Average of observations through period",National excluding capital city,Not seasonally adjusted,Organisation for Economic Cooperation and Development (OECD)
harmonized_index_of_consumer_prices_lager_beer_index_eurostat_neither_seasonally_nor_working_day_adjusted_index_2015=100,"Harmonized Index Of Consumer Prices - Lager Beer, Index, Eurostat, Neither Seasonally Nor Working Day Adjusted, Index, 2015=100",Lager Beer,Harmonized Index Of Consumer Prices,"Index, 2015=100",Monthly,Index (Average of observations through period),,Not seasonally adjusted,Eurostat
harmonized_index_of_consumer_prices_pets_and_related_prod_incl_veterinary_and_other_serv_for_pets_annual_rate_of_change_eurostat_neither_seasonally_nor_working_day_adjusted_percent,"Harmonized Index Of Consumer Prices - Pets And Related Prod. Incl. Veterinary And Other Serv. For Pets, Annual Rate Of Change, Eurostat, Neither Seasonally Nor Working Day Adjusted, Percent",Pets And Related Prod. Incl. Veterinary And Other Serv. For Pets,Harmonized Index Of Consumer Prices,Percent,Monthly,Annual rate of change (Average of observations through period),,Not seasonally adjusted,Eurostat
harmonized_index_of_consumer_prices_equipment_for_sport_annual_rate_of_change_eurostat_neither_seasonally_nor_working_day_adjusted_percent,"Harmonized Index Of Consumer Prices - Equipment For Sport, Annual Rate Of Change, Eurostat, Neither Seasonally Nor Working Day Adjusted, Percent",Equipment For Sport,Harmonized Index Of Consumer Prices,Percent,Monthly,Annual rate of change (Average of observations through period),,Not seasonally adjusted,Eurostat
harmonized_index_of_consumer_prices_accessories_for_photographic_and_cinematographic_equipment_monthly_index_eurostat_neither_seasonally_nor_working_day_adjusted_index_2015=100,"Harmonized Index Of Consumer Prices - Accessories For Photographic And Cinematographic Equipment, Monthly Index, Eurostat, Neither Seasonally Nor Working Day Adjusted, Index, 2015=100",Accessories For Photographic And Cinematographic Equipment,Harmonized Index Of Consumer Prices,"Index, 2015=100",Monthly,Index (Average of observations through period),,Not seasonally adjusted,Eurostat
harmonized_index_of_consumer_prices_services_for_the_maintenance_and_repair_of_the_dwelling_monthly_index_eurostat_neither_seasonally_nor_working_day_adjusted_index_2015=100,"Harmonized Index Of Consumer Prices - Services For The Maintenance And Repair Of The Dwelling, Monthly Index, Eurostat, Neither Seasonally Nor Working Day Adjusted, Index, 2015=100",Services For The Maintenance And Repair Of The Dwelling,Harmonized Index Of Consumer Prices,"Index, 2015=100",Monthly,Index (Average of observations through period),,Not seasonally adjusted,Eurostat
harmonized_index_of_consumer_prices_cookers_annual_rate_of_change_eurostat_neither_seasonally_nor_working_day_adjusted_percent,"Harmonized Index Of Consumer Prices - Cookers, Annual Rate Of Change, Eurostat, Neither Seasonally Nor Working Day Adjusted, Percent",Cookers,Harmonized Index Of Consumer Prices,Percent,Monthly,Annual rate of change (Average of observations through period),,Not seasonally adjusted,Eurostat
harmonized_index_of_consumer_prices_motor_cycles_annual_rate_of_change_eurostat_neither_seasonally_nor_working_day_adjusted_percent,"Harmonized Index Of Consumer Prices - Motor Cycles, Annual Rate Of Change, Eurostat, Neither Seasonally Nor Working Day Adjusted, Percent",Motor Cycles,Harmonized Index Of Consumer Prices,Percent,Monthly,Annual rate of change (Average of observations through period),,Not seasonally adjusted,Eurostat
harmonized_index_of_consumer_prices_insurance_connected_with_transport_index_eurostat_neither_seasonally_nor_working_day_adjusted_index_2015=100,"Harmonized Index Of Consumer Prices - Insurance Connected With Transport, Index, Eurostat, Neither Seasonally Nor Working Day Adjusted, Index, 2015=100",Insurance Connected With Transport,Harmonized Index Of Consumer Prices,"Index, 2015=100",Monthly,Index (Average of observations through period),,Not seasonally adjusted,Eurostat
harmonized_index_of_consumer_prices_major_durables_for_inoutdoor_recreation_incl_musical_instr_monthly_index_eurostat_neither_seasonally_nor_working_day_adjusted_index_2015=100,"Harmonized Index Of Consumer Prices - Major Durables For In/Outdoor Recreation Incl. Musical Instr., Monthly Index, Eurostat, Neither Seasonally Nor Working Day Adjusted, Index, 2015=100",Major Durables For In/Outdoor Recreation Incl. Musical Instr.,Harmonized Index Of Consumer Prices,"Index, 2015=100",Monthly,Index (Average of observations through period),,Not seasonally adjusted,Eurostat
harmonized_index_of_consumer_prices_solid_fuels_index_eurostat_neither_seasonally_nor_working_day_adjusted_index_2015=100,"Harmonized Index Of Consumer Prices - Solid Fuels, Index, Eurostat, Neither Seasonally Nor Working Day Adjusted, Index, 2015=100",Solid Fuels,Harmonized Index Of Consumer Prices,"Index, 2015=100",Monthly,Index (Average of observations through period),,Not seasonally adjusted,Eurostat
harmonized_index_of_consumer_prices_secondary_education_index_eurostat_neither_seasonally_nor_working_day_adjusted_index_2015=100,"Harmonized Index Of Consumer Prices - Secondary Education, Index, Eurostat, Neither Seasonally Nor Working Day Adjusted, Index, 2015=100",Secondary Education,Harmonized Index Of Consumer Prices,"Index, 2015=100",Monthly,Index (Average of observations through period),,Not seasonally adjusted,Eurostat
harmonized_index_of_consumer_prices_heat_energy_contribution_to_growth_rate_european_central_bank_neither_seasonally_nor_working_day_adjusted_points,"Harmonized Index Of Consumer Prices - Heat Energy, Contribution To Growth Rate, European Central Bank, Neither Seasonally Nor Working Day Adjusted, Points",Heat Energy,Harmonized Index Of Consumer Prices,Points,Monthly,Contribution to growth rate (Average of observations through period),,Not seasonally adjusted,European Central Bank (ECB)
harmonized_index_of_consumer_prices_corrective_eyeglasses_and_contact_lenses_annual_rate_of_change_eurostat_neither_seasonally_nor_working_day_adjusted_percent,"Harmonized Index Of Consumer Prices - Corrective Eye-Glasses And Contact Lenses, Annual Rate Of Change, Eurostat, Neither Seasonally Nor Working Day Adjusted, Percent",Corrective Eye-Glasses And Contact Lenses,Harmonized Index Of Consumer Prices,Percent,Monthly,Annual rate of change (Average of observations through period),,Not seasonally adjusted,Eurostat
harmonized_index_of_consumer_prices_seasonal_food_monthly_index_eurostat_neither_seasonally_nor_working_day_adjusted_index_2015=100,"Harmonized Index Of Consumer Prices - Seasonal Food, Monthly Index, Eurostat, Neither Seasonally Nor Working Day Adjusted, Index, 2015=100",Seasonal Food,Harmonized Index Of Consumer Prices,"Index, 2015=100",Monthly,Index (Average of observations through period),,Not seasonally adjusted,Eurostat
harmonized_index_of_consumer_prices_major_items_for_games_and_sport_monthly_index_eurostat_neither_seasonally_nor_working_day_adjusted_index_2015=100,"Harmonized Index Of Consumer Prices - Major Items For Games And Sport, Monthly Index, Eurostat, Neither Seasonally Nor Working Day Adjusted, Index, 2015=100",Major Items For Games And Sport,Harmonized Index Of Consumer Prices,"Index, 2015=100",Monthly,Index (Average of observations through period),,Not seasonally adjusted,Eurostat
harmonized_index_of_consumer_prices_electricity_gas_solid_fuels_and_heat_energy_index_eurostat_neither_seasonally_nor_working_day_adjusted_index_2015=100,"Harmonized Index Of Consumer Prices - Electricity, Gas, Solid Fuels And Heat Energy, Index, Eurostat, Neither Seasonally Nor Working Day Adjusted, Index, 2015=100","Electricity, Gas, Solid Fuels And Heat Energy",Harmonized Index Of Consumer Prices,"Index, 2015=100",Monthly,Index (Average of observations through period),,Not seasonally adjusted,Eurostat
harmonized_index_of_consumer_prices_lighting_equipment_annual_rate_of_change_eurostat_neither_seasonally_nor_working_day_adjusted_percent,"Harmonized Index Of Consumer Prices - Lighting Equipment, Annual Rate Of Change, Eurostat, Neither Seasonally Nor Working Day Adjusted, Percent",Lighting Equipment,Harmonized Index Of Consumer Prices,Percent,Monthly,Annual rate of change (Average of observations through period),,Not seasonally adjusted,Eurostat
harmonized_index_of_consumer_prices_cleaning_services_monthly_index_eurostat_neither_seasonally_nor_working_day_adjusted_index_2015=100,"Harmonized Index Of Consumer Prices - Cleaning Services, Monthly Index, Eurostat, Neither Seasonally Nor Working Day Adjusted, Index, 2015=100",Cleaning Services,Harmonized Index Of Consumer Prices,"Index, 2015=100",Monthly,Index (Average of observations through period),,Not seasonally adjusted,Eurostat
harmonized_index_of_consumer_prices_seasonal_food_annual_rate_of_change_eurostat_neither_seasonally_nor_working_day_adjusted_percent,"Harmonized Index Of Consumer Prices - Seasonal Food, Annual Rate Of Change, Eurostat, Neither Seasonally Nor Working Day Adjusted, Percent",Seasonal Food,Harmonized Index Of Consumer Prices,Percent,Monthly,Annual rate of change (Average of observations through period),,Not seasonally adjusted,Eurostat
harmonized_index_of_consumer_prices_postsecondary_nontertiary_education_annual_rate_of_change_eurostat_neither_seasonally_nor_working_day_adjusted_percent,"Harmonized Index Of Consumer Prices - Post-Secondary Non-Tertiary Education, Annual Rate Of Change, Eurostat, Neither Seasonally Nor Working Day Adjusted, Percent",Post-Secondary Non-Tertiary Education,Harmonized Index Of Consumer Prices,Percent,Monthly,Annual rate of change (Average of observations through period),,Not seasonally adjusted,Eurostat
harmonized_index_of_consumer_prices_actual_rentals_paid_by_tenants_including_other_actual_rentals_monthly_index_eurostat_neither_seasonally_nor_working_day_adjusted_index_2005=100,"Harmonized Index Of Consumer Prices - Actual Rentals Paid By Tenants Including Other Actual Rentals, Monthly Index, Eurostat, Neither Seasonally Nor Working Day Adjusted, Index, 2005=100",Actual Rentals Paid By Tenants Including Other Actual Rentals,Harmonized Index Of Consumer Prices,"Index, 2005=100",Monthly,Index (Average of observations through period),,Not seasonally adjusted,Eurostat
harmonized_index_of_consumer_prices_personal_grooming_treatments_monthly_index_eurostat_neither_seasonally_nor_working_day_adjusted_index_2015=100,"Harmonized Index Of Consumer Prices - Personal Grooming Treatments, Monthly Index, Eurostat, Neither Seasonally Nor Working Day Adjusted, Index, 2015=100",Personal Grooming Treatments,Harmonized Index Of Consumer Prices,"Index, 2015=100",Monthly,Index (Average of observations through period),,Not seasonally adjusted,Eurostat
harmonized_index_of_consumer_prices_outpatient_services_contribution_to_growth_rate_european_central_bank_neither_seasonally_nor_working_day_adjusted_points,"Harmonized Index Of Consumer Prices - Out-Patient Services, Contribution To Growth Rate, European Central Bank, Neither Seasonally Nor Working Day Adjusted, Points",Out-Patient Services,Harmonized Index Of Consumer Prices,Points,Monthly,Contribution to growth rate (Average of observations through period),,Not seasonally adjusted,European Central Bank (ECB)
harmonized_index_of_consumer_prices_fees_and_service_charges_of_brokers_investment_counsellors_monthly_index_eurostat_neither_seasonally_nor_working_day_adjusted_index_2015=100,"Harmonized Index Of Consumer Prices - Fees And Service Charges Of Brokers, Investment Counsellors, Monthly Index, Eurostat, Neither Seasonally Nor Working Day Adjusted, Index, 2015=100","Fees And Service Charges Of Brokers, Investment Counsellors",Harmonized Index Of Consumer Prices,"Index, 2015=100",Monthly,Index (Average of observations through period),,Not seasonally adjusted,Eurostat
harmonized_index_of_consumer_prices_repair_of_telephone_or_telefax_equipment_index_eurostat_neither_seasonally_nor_working_day_adjusted_index_2015=100,"Harmonized Index Of Consumer Prices - Repair Of Telephone Or Telefax Equipment, Index, Eurostat, Neither Seasonally Nor Working Day Adjusted, Index, 2015=100",Repair Of Telephone Or Telefax Equipment,Harmonized Index Of Consumer Prices,"Index, 2015=100",Monthly,Index (Average of observations through period),,Not seasonally adjusted,Eurostat
harmonized_index_of_consumer_prices_restaurants_and_hotels_index_eurostat_neither_seasonally_nor_working_day_adjusted_index_2015=100,"Harmonized Index Of Consumer Prices - Restaurants And Hotels, Index, Eurostat, Neither Seasonally Nor Working Day Adjusted, Index, 2015=100",Restaurants And Hotels,Harmonized Index Of Consumer Prices,"Index, 2015=100",Monthly,Index (Average of observations through period),,Not seasonally adjusted,Eurostat
harmonized_index_of_consumer_prices_transport_services_monthly_index_eurostat_neither_seasonally_nor_working_day_adjusted_index_2015=100,"Harmonized Index Of Consumer Prices - Transport Services, Monthly Index, Eurostat, Neither Seasonally Nor Working Day Adjusted, Index, 2015=100",Transport Services,Harmonized Index Of Consumer Prices,"Index, 2015=100",Monthly,Index (Average of observations through period),,Not seasonally adjusted,Eurostat
harmonized_index_of_consumer_prices_recreational_and_cultural_services_index_eurostat_neither_seasonally_nor_working_day_adjusted_index_2015=100,"Harmonized Index Of Consumer Prices - Recreational And Cultural Services, Index, Eurostat, Neither Seasonally Nor Working Day Adjusted, Index, 2015=100",Recreational And Cultural Services,Harmonized Index Of Consumer Prices,"Index, 2015=100",Monthly,Index (Average of observations through period),,Not seasonally adjusted,Eurostat
harmonized_index_of_consumer_prices_yoghurt_index_eurostat_neither_seasonally_nor_working_day_adjusted_index_2015=100,"Harmonized Index Of Consumer Prices - Yoghurt, Index, Eurostat, Neither Seasonally Nor Working Day Adjusted, Index, 2015=100",Yoghurt,Harmonized Index Of Consumer Prices,"Index, 2015=100",Monthly,Index (Average of observations through period),,Not seasonally adjusted,Eurostat
"estimates_of_the_overundervaluation_of_residential_property_prices_modelbased_valuation_measures_residual_bayesian_static_equation_residential_property_prices,_new_and_existing_flats","Estimates of the over/undervaluation of residential property prices: Model-based valuation measures (residual - Bayesian static equation) (Residential property prices, New and existing flats)",,"Residential property prices, New and existing flats",Percent,Quarterly,Model-based valuation measures (residual - Bayesian static equation),Whole country,,European Central Bank (ECB)
harmonized_index_of_consumer_prices_toasters_and_grills_annual_rate_of_change_eurostat_neither_seasonally_nor_working_day_adjusted_percent,"Harmonized Index Of Consumer Prices - Toasters And Grills, Annual Rate Of Change, Eurostat, Neither Seasonally Nor Working Day Adjusted, Percent",Toasters And Grills,Harmonized Index Of Consumer Prices,Percent,Monthly,Annual rate of change (Average of observations through period),,Not seasonally adjusted,Eurostat
harmonized_index_of_consumer_prices_miscellaneous_services_contribution_to_growth_rate_european_central_bank_neither_seasonally_nor_working_day_adjusted_points,"Harmonized Index Of Consumer Prices - Miscellaneous Services, Contribution To Growth Rate, European Central Bank, Neither Seasonally Nor Working Day Adjusted, Points",Miscellaneous Services,Harmonized Index Of Consumer Prices,Points,Monthly,Contribution to growth rate (Average of observations through period),,Not seasonally adjusted,European Central Bank (ECB)
harmonized_index_of_consumer_prices_furniture_and_furnishings_carpets_and_other_floor_coverings_annual_rate_of_change_eurostat_neither_seasonally_nor_working_day_adjusted_percent,"Harmonized Index Of Consumer Prices - Furniture And Furnishings, Carpets And Other Floor Coverings, Annual Rate Of Change, Eurostat, Neither Seasonally Nor Working Day Adjusted, Percent","Furniture And Furnishings, Carpets And Other Floor Coverings",Harmonized Index Of Consumer Prices,Percent,Monthly,Annual rate of change (Average of observations through period),,Not seasonally adjusted,Eurostat
harmonized_index_of_consumer_prices_hire_of_furniture_and_furnishings_annual_rate_of_change_eurostat_neither_seasonally_nor_working_day_adjusted_percent,"Harmonized Index Of Consumer Prices - Hire Of Furniture And Furnishings, Annual Rate Of Change, Eurostat, Neither Seasonally Nor Working Day Adjusted, Percent",Hire Of Furniture And Furnishings,Harmonized Index Of Consumer Prices,Percent,Monthly,Annual rate of change (Average of observations through period),,Not seasonally adjusted,Eurostat
harmonized_index_of_consumer_prices_lamb_and_goat_annual_rate_of_change_eurostat_neither_seasonally_nor_working_day_adjusted_percent,"Harmonized Index Of Consumer Prices - Lamb And Goat, Annual Rate Of Change, Eurostat, Neither Seasonally Nor Working Day Adjusted, Percent",Lamb And Goat,Harmonized Index Of Consumer Prices,Percent,Monthly,Annual rate of change (Average of observations through period),,Not seasonally adjusted,Eurostat
harmonized_index_of_consumer_prices_recreation_and_culture_annual_rate_of_change_eurostat_neither_seasonally_nor_working_day_adjusted_percent,"Harmonized Index Of Consumer Prices - Recreation And Culture, Annual Rate Of Change, Eurostat, Neither Seasonally Nor Working Day Adjusted, Percent",Recreation And Culture,Harmonized Index Of Consumer Prices,Percent,Monthly,Annual rate of change (Average of observations through period),,Not seasonally adjusted,Eurostat
harmonized_index_of_consumer_prices_repair_and_hire_of_clothing_index_eurostat_neither_seasonally_nor_working_day_adjusted_index_2015=100,"Harmonized Index Of Consumer Prices - Repair And Hire Of Clothing, Index, Eurostat, Neither Seasonally Nor Working Day Adjusted, Index, 2015=100",Repair And Hire Of Clothing,Harmonized Index Of Consumer Prices,"Index, 2015=100",Monthly,Index (Average of observations through period),,Not seasonally adjusted,Eurostat
harmonized_index_of_consumer_prices_toll_facilities_and_parking_meters_annual_rate_of_change_eurostat_neither_seasonally_nor_working_day_adjusted_percent,"Harmonized Index Of Consumer Prices - Toll Facilities And Parking Meters, Annual Rate Of Change, Eurostat, Neither Seasonally Nor Working Day Adjusted, Percent",Toll Facilities And Parking Meters,Harmonized Index Of Consumer Prices,Percent,Monthly,Annual rate of change (Average of observations through period),,Not seasonally adjusted,Eurostat
harmonized_index_of_consumer_prices_administered_prices_of_energy_and_food_products_monthly_index_eurostat_neither_seasonally_nor_working_day_adjusted_index_2015=100,"Harmonized Index Of Consumer Prices - Administered Prices Of Energy And Food Products, Monthly Index, Eurostat, Neither Seasonally Nor Working Day Adjusted, Index, 2015=100",Administered Prices Of Energy And Food Products,Harmonized Index Of Consumer Prices,"Index, 2015=100",Monthly,Index (Average of observations through period),,Not seasonally adjusted,Eurostat
harmonized_index_of_consumer_prices_other_purchased_transport_services_monthly_index_eurostat_neither_seasonally_nor_working_day_adjusted_index_2015=100,"Harmonized Index Of Consumer Prices - Other Purchased Transport Services, Monthly Index, Eurostat, Neither Seasonally Nor Working Day Adjusted, Index, 2015=100",Other Purchased Transport Services,Harmonized Index Of Consumer Prices,"Index, 2015=100",Monthly,Index (Average of observations through period),,Not seasonally adjusted,Eurostat
harmonized_index_of_consumer_prices_other_postal_services_index_eurostat_neither_seasonally_nor_working_day_adjusted_index_2015=100,"Harmonized Index Of Consumer Prices - Other Postal Services, Index, Eurostat, Neither Seasonally Nor Working Day Adjusted, Index, 2015=100",Other Postal Services,Harmonized Index Of Consumer Prices,"Index, 2015=100",Monthly,Index (Average of observations through period),,Not seasonally adjusted,Eurostat
harmonized_index_of_consumer_prices_accessories_for_information_processing_equipment_annual_rate_of_change_eurostat_neither_seasonally_nor_working_day_adjusted_percent,"Harmonized Index Of Consumer Prices - Accessories For Information Processing Equipment, Annual Rate Of Change, Eurostat, Neither Seasonally Nor Working Day Adjusted, Percent",Accessories For Information Processing Equipment,Harmonized Index Of Consumer Prices,Percent,Monthly,Annual rate of change (Average of observations through period),,Not seasonally adjusted,Eurostat
harmonized_index_of_consumer_prices_games_toys_and_hobbies_index_eurostat_neither_seasonally_nor_working_day_adjusted_index_2015=100,"Harmonized Index Of Consumer Prices - Games, Toys And Hobbies, Index, Eurostat, Neither Seasonally Nor Working Day Adjusted, Index, 2015=100","Games, Toys And Hobbies",Harmonized Index Of Consumer Prices,"Index, 2015=100",Monthly,Index (Average of observations through period),,Not seasonally adjusted,Eurostat
harmonized_index_of_consumer_prices_alcoholic_beverages_tobacco_monthly_index_eurostat_neither_seasonally_nor_working_day_adjusted_index_2015=100,"Harmonized Index Of Consumer Prices - Alcoholic Beverages, Tobacco, Monthly Index, Eurostat, Neither Seasonally Nor Working Day Adjusted, Index, 2015=100","Alcoholic Beverages, Tobacco",Harmonized Index Of Consumer Prices,"Index, 2015=100",Monthly,Index (Average of observations through period),,Not seasonally adjusted,Eurostat
harmonized_index_of_consumer_prices_housing_services_index_eurostat_neither_seasonally_nor_working_day_adjusted_index_2015=100,"Harmonized Index Of Consumer Prices - Housing Services, Index, Eurostat, Neither Seasonally Nor Working Day Adjusted, Index, 2015=100",Housing Services,Harmonized Index Of Consumer Prices,"Index, 2015=100",Monthly,Index (Average of observations through period),,Not seasonally adjusted,Eurostat
harmonized_index_of_consumer_prices_actual_rentals_for_housing_contribution_to_growth_rate_european_central_bank_neither_seasonally_nor_working_day_adjusted_points,"Harmonized Index Of Consumer Prices - Actual Rentals For Housing, Contribution To Growth Rate, European Central Bank, Neither Seasonally Nor Working Day Adjusted, Points",Actual Rentals For Housing,Harmonized Index Of Consumer Prices,Points,Monthly,Contribution to growth rate (Average of observations through period),,Not seasonally adjusted,European Central Bank (ECB)
harmonized_index_of_consumer_prices_food_incl_alcohol_and_tobacco_flash_estimate_index_eurostat_neither_seasonally_nor_working_day_adjusted_index_2015=100,"Harmonized Index Of Consumer Prices - Food Incl. Alcohol And Tobacco Flash Estimate, Index, Eurostat, Neither Seasonally Nor Working Day Adjusted, Index, 2015=100",Food Incl. Alcohol And Tobacco Flash Estimate,Harmonized Index Of Consumer Prices,"Index, 2015=100",Monthly,Index (Average of observations through period),,Not seasonally adjusted,Eurostat
harmonized_index_of_consumer_prices_administered_prices_of_energy_and_food_products_index_eurostat_neither_seasonally_nor_working_day_adjusted_index_2015=100,"Harmonized Index Of Consumer Prices - Administered Prices Of Energy And Food Products, Index, Eurostat, Neither Seasonally Nor Working Day Adjusted, Index, 2015=100",Administered Prices Of Energy And Food Products,Harmonized Index Of Consumer Prices,"Index, 2015=100",Monthly,Index (Average of observations through period),,Not seasonally adjusted,Eurostat
harmonized_index_of_consumer_prices_fresh_or_chilled_vegetables_other_than_potatoes_and_other_tubers_index_eurostat_neither_seasonally_nor_working_day_adjusted_index_2015=100,"Harmonized Index Of Consumer Prices - Fresh Or Chilled Vegetables Other Than Potatoes And Other Tubers, Index, Eurostat, Neither Seasonally Nor Working Day Adjusted, Index, 2015=100",Fresh Or Chilled Vegetables Other Than Potatoes And Other Tubers,Harmonized Index Of Consumer Prices,"Index, 2015=100",Monthly,Index (Average of observations through period),,Not seasonally adjusted,Eurostat
harmonized_index_of_consumer_prices_repair_and_hire_of_footwear_index_eurostat_neither_seasonally_nor_working_day_adjusted_index_2015=100,"Harmonized Index Of Consumer Prices - Repair And Hire Of Footwear, Index, Eurostat, Neither Seasonally Nor Working Day Adjusted, Index, 2015=100",Repair And Hire Of Footwear,Harmonized Index Of Consumer Prices,"Index, 2015=100",Monthly,Index (Average of observations through period),,Not seasonally adjusted,Eurostat
harmonized_index_of_consumer_prices_preprimary_education_monthly_index_eurostat_neither_seasonally_nor_working_day_adjusted_index_2015=100,"Harmonized Index Of Consumer Prices - Pre-Primary Education, Monthly Index, Eurostat, Neither Seasonally Nor Working Day Adjusted, Index, 2015=100",Pre-Primary Education,Harmonized Index Of Consumer Prices,"Index, 2015=100",Monthly,Index (Average of observations through period),,Not seasonally adjusted,Eurostat
harmonized_index_of_consumer_prices_sewerage_collection_annual_rate_of_change_eurostat_neither_seasonally_nor_working_day_adjusted_percent,"Harmonized Index Of Consumer Prices - Sewerage Collection, Annual Rate Of Change, Eurostat, Neither Seasonally Nor Working Day Adjusted, Percent",Sewerage Collection,Harmonized Index Of Consumer Prices,Percent,Monthly,Annual rate of change (Average of observations through period),,Not seasonally adjusted,Eurostat
