VARIABLE,VARIABLE_NAME,SEASONALLY_ADJUSTED,FREQUENCY,UNIT,REPORT,MEASURE,INDUSTRY,ESTABLISHMENT_SIZE
"State_and_Metro_Employment:_All_Employees,_Leisure_and_Hospitality:_Gambling_Industries,_Not_seasonally_adjusted,_Annual","State and Metro Employment: All Employees, Leisure and Hospitality: Gambling Industries, Not seasonally adjusted, Annual",false,Annual,Employees,State and Metro Employment,All Employees,Leisure and Hospitality: Gambling Industries,
"State_and_Metro_Employment:_Average_Hourly_Earnings_of_Production_Employees,_Wholesale_Trade:_Merchant_Wholesalers,_Durable_Goods,_Not_seasonally_adjusted,_Monthly","State and Metro Employment: Average Hourly Earnings of Production Employees, Wholesale Trade: Merchant Wholesalers, Durable Goods, Not seasonally adjusted, Monthly",false,Monthly,USD,State and Metro Employment,Average Hourly Earnings of Production Employees,"Wholesale Trade: Merchant Wholesalers, Durable Goods",
"State_and_Metro_Employment:_All_Employees,_Education_and_Health_Services:_Psychiatric_and_Substance_Abuse_Hospitals,_Not_seasonally_adjusted,_Annual","State and Metro Employment: All Employees, Education and Health Services: Psychiatric and Substance Abuse Hospitals, Not seasonally adjusted, Annual",false,Annual,Employees,State and Metro Employment,All Employees,Education and Health Services: Psychiatric and Substance Abuse Hospitals,
"State_and_Metro_Employment:_All_Employees,_Education_and_Health_Services:_Individual_and_Family_Services,_Not_seasonally_adjusted,_Annual","State and Metro Employment: All Employees, Education and Health Services: Individual and Family Services, Not seasonally adjusted, Annual",false,Annual,Employees,State and Metro Employment,All Employees,Education and Health Services: Individual and Family Services,
"State_and_Metro_Employment:_All_Employees,_Durable_Goods:_Other_General_Purpose_Machinery_Manufacturing,_Not_seasonally_adjusted,_Annual","State and Metro Employment: All Employees, Durable Goods: Other General Purpose Machinery Manufacturing, Not seasonally adjusted, Annual",false,Annual,Employees,State and Metro Employment,All Employees,Durable Goods: Other General Purpose Machinery Manufacturing,
"State_and_Metro_Employment:_All_Employees,_Professional_and_Business_Services:_Temporary_Help_Services,_Not_seasonally_adjusted,_Annual","State and Metro Employment: All Employees, Professional and Business Services: Temporary Help Services, Not seasonally adjusted, Annual",false,Annual,Employees,State and Metro Employment,All Employees,Professional and Business Services: Temporary Help Services,
"State_and_Metro_Employment:_All_Employees,_Construction:_Other_Heavy_and_Civil_Engineering_Construction,_Not_seasonally_adjusted,_Annual","State and Metro Employment: All Employees, Construction: Other Heavy and Civil Engineering Construction, Not seasonally adjusted, Annual",false,Annual,Employees,State and Metro Employment,All Employees,Construction: Other Heavy and Civil Engineering Construction,
"JOLTS:_Quits,_State_and_local,_All_size_classes,_Not_seasonally_adjusted,_Monthly,_Level","JOLTS: Quits, State and local, All size classes, Not seasonally adjusted, Monthly, Level",false,Monthly,Level,JOLTS,Quits,State and local,All size classes
"JOLTS:_Quits,_Finance_and_insurance,_All_size_classes,_Not_seasonally_adjusted,_Annual,_Percent","JOLTS: Quits, Finance and insurance, All size classes, Not seasonally adjusted, Annual, Percent",false,Annual,Percent,JOLTS,Quits,Finance and insurance,All size classes
"JOLTS:_Other_separations,_Construction,_All_size_classes,_Not_seasonally_adjusted,_Monthly,_Level","JOLTS: Other separations, Construction, All size classes, Not seasonally adjusted, Monthly, Level",false,Monthly,Level,JOLTS,Other separations,Construction,All size classes
"JOLTS:_Hires,_Federal,_All_size_classes,_Not_seasonally_adjusted,_Annual,_Level","JOLTS: Hires, Federal, All size classes, Not seasonally adjusted, Annual, Level",false,Annual,Level,JOLTS,Hires,Federal,All size classes
"JOLTS:_Quits,_State_and_local,_All_size_classes,_Not_seasonally_adjusted,_Annual,_Percent","JOLTS: Quits, State and local, All size classes, Not seasonally adjusted, Annual, Percent",false,Annual,Percent,JOLTS,Quits,State and local,All size classes
"JOLTS:_Quits,_Education_and_health_services,_All_size_classes,_Not_seasonally_adjusted,_Monthly,_Level","JOLTS: Quits, Education and health services, All size classes, Not seasonally adjusted, Monthly, Level",false,Monthly,Level,JOLTS,Quits,Education and health services,All size classes
"JOLTS:_Other_separations,_Total_private,_5,000_or_more_employees,_Not_seasonally_adjusted,_Monthly,_Level","JOLTS: Other separations, Total private, 5,000 or more employees, Not seasonally adjusted, Monthly, Level",false,Monthly,Level,JOLTS,Other separations,Total private,"5,000 or more employees"
"JOLTS:_Total_separations,_Trade,_transportation,_and_utilities,_All_size_classes,_Seasonally_adjusted,_Monthly,_Level","JOLTS: Total separations, Trade, transportation, and utilities, All size classes, Seasonally adjusted, Monthly, Level",true,Monthly,Level,JOLTS,Total separations,"Trade, transportation, and utilities",All size classes
"JOLTS:_Other_separations,_Federal,_All_size_classes,_Seasonally_adjusted,_Monthly,_Level","JOLTS: Other separations, Federal, All size classes, Seasonally adjusted, Monthly, Level",true,Monthly,Level,JOLTS,Other separations,Federal,All size classes
"JOLTS:_Job_openings,_Professional_and_business_services,_All_size_classes,_Not_seasonally_adjusted,_Monthly,_Level","JOLTS: Job openings, Professional and business services, All size classes, Not seasonally adjusted, Monthly, Level",false,Monthly,Level,JOLTS,Job openings,Professional and business services,All size classes
"JOLTS:_Layoffs_and_discharges,_Educational_services,_All_size_classes,_Not_seasonally_adjusted,_Annual,_Percent","JOLTS: Layoffs and discharges, Educational services, All size classes, Not seasonally adjusted, Annual, Percent",false,Annual,Percent,JOLTS,Layoffs and discharges,Educational services,All size classes
"Local_Area_Unemployment:_Labor_Force,_Not_seasonally_adjusted,_Annual","Local Area Unemployment: Labor Force, Not seasonally adjusted, Annual",false,Annual,Persons,Local Area Unemployment,Labor Force,,
"State_and_Metro_Employment:_All_Employees,_Durable_Goods,_Seasonally_adjusted,_Monthly","State and Metro Employment: All Employees, Durable Goods, Seasonally adjusted, Monthly",true,Monthly,Employees,State and Metro Employment,All Employees,Durable Goods,
"State_and_Metro_Employment:_Average_Weekly_Earnings_of_Production_Employees,_Non-Durable_Goods:_Food_Manufacturing,_Not_seasonally_adjusted,_Annual","State and Metro Employment: Average Weekly Earnings of Production Employees, Non-Durable Goods: Food Manufacturing, Not seasonally adjusted, Annual",false,Annual,USD,State and Metro Employment,Average Weekly Earnings of Production Employees,Non-Durable Goods: Food Manufacturing,
"State_and_Metro_Employment:_Average_Hourly_Earnings_of_Production_Employees,_Retail_Trade:_Food_and_Beverage_Stores,_Not_seasonally_adjusted,_Monthly","State and Metro Employment: Average Hourly Earnings of Production Employees, Retail Trade: Food and Beverage Stores, Not seasonally adjusted, Monthly",false,Monthly,USD,State and Metro Employment,Average Hourly Earnings of Production Employees,Retail Trade: Food and Beverage Stores,
"State_and_Metro_Employment:_Diffusion_Index,_6-month_span,_Seasonally_adjusted,_Total_nonfarm,_All_States","State and Metro Employment: Diffusion Index, 6-month span, Seasonally adjusted, Total nonfarm, All States",true,Monthly,Diffusion Index,State and Metro Employment,"Diffusion Index, 6-month span, Seasonally adjusted, Total nonfarm",Total Nonfarm,
"State_and_Metro_Employment:_Average_Weekly_Hours_of_Production_Employees,_Retail_Trade,_Not_seasonally_adjusted,_Monthly","State and Metro Employment: Average Weekly Hours of Production Employees, Retail Trade, Not seasonally adjusted, Monthly",false,Monthly,Hours,State and Metro Employment,Average Weekly Hours of Production Employees,Retail Trade,
"State_and_Metro_Employment:_All_Employees,_Durable_Goods:_Aerospace_Product_and_Parts_Manufacturing,_Not_seasonally_adjusted,_Monthly","State and Metro Employment: All Employees, Durable Goods: Aerospace Product and Parts Manufacturing, Not seasonally adjusted, Monthly",false,Monthly,Employees,State and Metro Employment,All Employees,Durable Goods: Aerospace Product and Parts Manufacturing,
"State_and_Metro_Employment:_Average_Hourly_Earnings_of_All_Employees,_Other_Services,_Not_seasonally_adjusted,_Monthly","State and Metro Employment: Average Hourly Earnings of All Employees, Other Services, Not seasonally adjusted, Monthly",false,Monthly,USD,State and Metro Employment,Average Hourly Earnings of All Employees,Other Services,
"State_and_Metro_Employment:_All_Employees,_Transportation_and_Utilities:_Support_Activities_for_Road_Transportation,_Not_seasonally_adjusted,_Monthly","State and Metro Employment: All Employees, Transportation and Utilities: Support Activities for Road Transportation, Not seasonally adjusted, Monthly",false,Monthly,Employees,State and Metro Employment,All Employees,Transportation and Utilities: Support Activities for Road Transportation,
"State_and_Metro_Employment:_All_Employees,_Professional_and_Business_Services:_Office_Administrative_Services,_Not_seasonally_adjusted,_Monthly","State and Metro Employment: All Employees, Professional and Business Services: Office Administrative Services, Not seasonally adjusted, Monthly",false,Monthly,Employees,State and Metro Employment,All Employees,Professional and Business Services: Office Administrative Services,
"State_and_Metro_Employment:_All_Employees,_Education_and_Health_Services:_Other_Residential_Care_Facilities,_Not_seasonally_adjusted,_Monthly","State and Metro Employment: All Employees, Education and Health Services: Other Residential Care Facilities, Not seasonally adjusted, Monthly",false,Monthly,Employees,State and Metro Employment,All Employees,Education and Health Services: Other Residential Care Facilities,
"State_and_Metro_Employment:_All_Employees,_Professional_and_Business_Services:_Temporary_Help_Services,_Not_seasonally_adjusted,_Monthly","State and Metro Employment: All Employees, Professional and Business Services: Temporary Help Services, Not seasonally adjusted, Monthly",false,Monthly,Employees,State and Metro Employment,All Employees,Professional and Business Services: Temporary Help Services,
"State_and_Metro_Employment:_All_Employees,_Education_and_Health_Services:_Offices_of_Dentists,_Not_seasonally_adjusted,_Annual","State and Metro Employment: All Employees, Education and Health Services: Offices of Dentists, Not seasonally adjusted, Annual",false,Annual,Employees,State and Metro Employment,All Employees,Education and Health Services: Offices of Dentists,
"State_and_Metro_Employment:_All_Employees,_Durable_Goods:_Metalworking_Machinery_Manufacturing,_Not_seasonally_adjusted,_Monthly","State and Metro Employment: All Employees, Durable Goods: Metalworking Machinery Manufacturing, Not seasonally adjusted, Monthly",false,Monthly,Employees,State and Metro Employment,All Employees,Durable Goods: Metalworking Machinery Manufacturing,
"State_and_Metro_Employment:_Average_Hourly_Earnings_of_Production_Employees,_Construction:_Foundation,_Structure,_and_Building_Exterior_Contractors,_Not_seasonally_adjusted,_Annual","State and Metro Employment: Average Hourly Earnings of Production Employees, Construction: Foundation, Structure, and Building Exterior Contractors, Not seasonally adjusted, Annual",false,Annual,USD,State and Metro Employment,Average Hourly Earnings of Production Employees,"Construction: Foundation, Structure, and Building Exterior Contractors",
"State_and_Metro_Employment:_All_Employees,_Non-Durable_Goods:_Fabric_Mills,_Not_seasonally_adjusted,_Annual","State and Metro Employment: All Employees, Non-Durable Goods: Fabric Mills, Not seasonally adjusted, Annual",false,Annual,Employees,State and Metro Employment,All Employees,Non-Durable Goods: Fabric Mills,
"State_and_Metro_Employment:_All_Employees,_Government:_Federal_Government_excluding_Postal_Service,_Department_of_Defense,_Ship_Building,_and_Hospitals,_Not_seasonally_adjusted,_Monthly","State and Metro Employment: All Employees, Government: Federal Government excluding Postal Service, Department of Defense, Ship Building, and Hospitals, Not seasonally adjusted, Monthly",false,Monthly,Employees,State and Metro Employment,All Employees,"Government: Federal Government excluding Postal Service, Department of Defense, Ship Building, and Hospitals",
"State_and_Metro_Employment:_All_Employees,_Durable_Goods:_Jewelry_and_Silverware_Manufacturing,_Not_seasonally_adjusted,_Annual","State and Metro Employment: All Employees, Durable Goods: Jewelry and Silverware Manufacturing, Not seasonally adjusted, Annual",false,Annual,Employees,State and Metro Employment,All Employees,Durable Goods: Jewelry and Silverware Manufacturing,
"JOLTS:_Job_openings,_State_and_local_government,_excluding_education,_All_size_classes,_Not_seasonally_adjusted,_Monthly,_Level","JOLTS: Job openings, State and local government, excluding education, All size classes, Not seasonally adjusted, Monthly, Level",false,Monthly,Level,JOLTS,Job openings,"State and local government, excluding education",All size classes
"State_and_Metro_Employment:_Average_Weekly_Earnings_of_Production_Employees,_Information,_Not_seasonally_adjusted,_Annual","State and Metro Employment: Average Weekly Earnings of Production Employees, Information, Not seasonally adjusted, Annual",false,Annual,USD,State and Metro Employment,Average Weekly Earnings of Production Employees,Information,
"State_and_Metro_Employment:_Average_Hourly_Earnings_of_Production_Employees,_Mining_and_Logging,_Not_seasonally_adjusted,_Annual","State and Metro Employment: Average Hourly Earnings of Production Employees, Mining and Logging, Not seasonally adjusted, Annual",false,Annual,USD,State and Metro Employment,Average Hourly Earnings of Production Employees,Mining and Logging,
"State_and_Metro_Employment:_Average_Hourly_Earnings_of_Production_Employees,_Education_and_Health_Services:_Health_Care_and_Social_Assistance,_Not_seasonally_adjusted,_Annual","State and Metro Employment: Average Hourly Earnings of Production Employees, Education and Health Services: Health Care and Social Assistance, Not seasonally adjusted, Annual",false,Annual,USD,State and Metro Employment,Average Hourly Earnings of Production Employees,Education and Health Services: Health Care and Social Assistance,
"State_and_Metro_Employment:_Average_Hourly_Earnings_of_Production_Employees,_Durable_Goods:_Transportation_Equipment_Manufacturing,_Not_seasonally_adjusted,_Annual","State and Metro Employment: Average Hourly Earnings of Production Employees, Durable Goods: Transportation Equipment Manufacturing, Not seasonally adjusted, Annual",false,Annual,USD,State and Metro Employment,Average Hourly Earnings of Production Employees,Durable Goods: Transportation Equipment Manufacturing,
"State_and_Metro_Employment:_Average_Weekly_Hours_of_Production_Employees,_Professional_and_Business_Services:_Professional,_Scientific,_and_Technical_Services,_Not_seasonally_adjusted,_Annual","State and Metro Employment: Average Weekly Hours of Production Employees, Professional and Business Services: Professional, Scientific, and Technical Services, Not seasonally adjusted, Annual",false,Annual,Hours,State and Metro Employment,Average Weekly Hours of Production Employees,"Professional and Business Services: Professional, Scientific, and Technical Services",
"State_and_Metro_Employment:_Production_or_Nonsupervisory_Employees,_Information:_Telecommunications,_Not_seasonally_adjusted,_Annual","State and Metro Employment: Production or Nonsupervisory Employees, Information: Telecommunications, Not seasonally adjusted, Annual",false,Annual,Employees,State and Metro Employment,Production or Nonsupervisory Employees,Information: Telecommunications,
"State_and_Metro_Employment:_All_Employees,_Non-Durable_Goods:_Soap,_Cleaning_Compound,_and_Toilet_Preparation_Manufacturing,_Not_seasonally_adjusted,_Annual","State and Metro Employment: All Employees, Non-Durable Goods: Soap, Cleaning Compound, and Toilet Preparation Manufacturing, Not seasonally adjusted, Annual",false,Annual,Employees,State and Metro Employment,All Employees,"Non-Durable Goods: Soap, Cleaning Compound, and Toilet Preparation Manufacturing",
"State_and_Metro_Employment:_All_Employees,_Manufacturing,_Seasonally_adjusted,_Monthly","State and Metro Employment: All Employees, Manufacturing, Seasonally adjusted, Monthly",true,Monthly,Employees,State and Metro Employment,All Employees,Manufacturing,
"State_and_Metro_Employment:_All_Employees,_Leisure_and_Hospitality:_Arts,_Entertainment,_and_Recreation,_Seasonally_adjusted,_Monthly","State and Metro Employment: All Employees, Leisure and Hospitality: Arts, Entertainment, and Recreation, Seasonally adjusted, Monthly",true,Monthly,Employees,State and Metro Employment,All Employees,"Leisure and Hospitality: Arts, Entertainment, and Recreation",
"State_and_Metro_Employment:_All_Employees,_Professional_and_Business_Services,_Seasonally_adjusted,_Monthly","State and Metro Employment: All Employees, Professional and Business Services, Seasonally adjusted, Monthly",true,Monthly,Employees,State and Metro Employment,All Employees,Professional and Business Services,
"State_and_Metro_Employment:_Average_Weekly_Earnings_of_Production_Employees,_Durable_Goods,_Not_seasonally_adjusted,_Monthly","State and Metro Employment: Average Weekly Earnings of Production Employees, Durable Goods, Not seasonally adjusted, Monthly",false,Monthly,USD,State and Metro Employment,Average Weekly Earnings of Production Employees,Durable Goods,
"State_and_Metro_Employment:_All_Employees,_Non-Durable_Goods:_Chemical_Manufacturing,_Not_seasonally_adjusted,_Annual","State and Metro Employment: All Employees, Non-Durable Goods: Chemical Manufacturing, Not seasonally adjusted, Annual",false,Annual,Employees,State and Metro Employment,All Employees,Non-Durable Goods: Chemical Manufacturing,
"State_and_Metro_Employment:_All_Employees,_Durable_Goods:_Motor_Vehicle_Parts_Manufacturing,_Not_seasonally_adjusted,_Monthly","State and Metro Employment: All Employees, Durable Goods: Motor Vehicle Parts Manufacturing, Not seasonally adjusted, Monthly",false,Monthly,Employees,State and Metro Employment,All Employees,Durable Goods: Motor Vehicle Parts Manufacturing,
"State_and_Metro_Employment:_Average_Weekly_Hours_of_All_Employees,_Information,_Not_seasonally_adjusted,_Annual","State and Metro Employment: Average Weekly Hours of All Employees, Information, Not seasonally adjusted, Annual",false,Annual,Hours,State and Metro Employment,Average Weekly Hours of All Employees,Information,
"State_and_Metro_Employment:_All_Employees,_Durable_Goods:_Electrical_Equipment_Manufacturing,_Not_seasonally_adjusted,_Monthly","State and Metro Employment: All Employees, Durable Goods: Electrical Equipment Manufacturing, Not seasonally adjusted, Monthly",false,Monthly,Employees,State and Metro Employment,All Employees,Durable Goods: Electrical Equipment Manufacturing,
"State_and_Metro_Employment:_Average_Weekly_Hours_of_Production_Employees,_Information:_Motion_Picture_and_Video_Industries,_Not_seasonally_adjusted,_Annual","State and Metro Employment: Average Weekly Hours of Production Employees, Information: Motion Picture and Video Industries, Not seasonally adjusted, Annual",false,Annual,Hours,State and Metro Employment,Average Weekly Hours of Production Employees,Information: Motion Picture and Video Industries,
"JOLTS:_Job_openings,_Retail_trade,_All_size_classes,_Not_seasonally_adjusted,_Monthly,_Level","JOLTS: Job openings, Retail trade, All size classes, Not seasonally adjusted, Monthly, Level",false,Monthly,Level,JOLTS,Job openings,Retail trade,All size classes
"State_and_Metro_Employment:_All_Employees,_Retail_Trade:_Motor_Vehicle_and_Parts_Dealers,_Not_seasonally_adjusted,_Annual","State and Metro Employment: All Employees, Retail Trade: Motor Vehicle and Parts Dealers, Not seasonally adjusted, Annual",false,Annual,Employees,State and Metro Employment,All Employees,Retail Trade: Motor Vehicle and Parts Dealers,
"State_and_Metro_Employment:_All_Employees,_Education_and_Health_Services:_Colleges,_Universities,_and_Professional_Schools,_Not_seasonally_adjusted,_Monthly","State and Metro Employment: All Employees, Education and Health Services: Colleges, Universities, and Professional Schools, Not seasonally adjusted, Monthly",false,Monthly,Employees,State and Metro Employment,All Employees,"Education and Health Services: Colleges, Universities, and Professional Schools",
"State_and_Metro_Employment:_All_Employees,_Mining_and_Logging:_Mining,_Quarrying,_and_Oil_and_Gas_Extraction,_Not_seasonally_adjusted,_Annual","State and Metro Employment: All Employees, Mining and Logging: Mining, Quarrying, and Oil and Gas Extraction, Not seasonally adjusted, Annual",false,Annual,Employees,State and Metro Employment,All Employees,"Mining and Logging: Mining, Quarrying, and Oil and Gas Extraction",
"State_and_Metro_Employment:_All_Employees,_Non-Durable_Goods:_Fabric_Mills,_Not_seasonally_adjusted,_Monthly","State and Metro Employment: All Employees, Non-Durable Goods: Fabric Mills, Not seasonally adjusted, Monthly",false,Monthly,Employees,State and Metro Employment,All Employees,Non-Durable Goods: Fabric Mills,
"State_and_Metro_Employment:_Average_Weekly_Hours_of_Production_Employees,_Education_and_Health_Services:_Ambulatory_Health_Care_Services,_Not_seasonally_adjusted,_Annual","State and Metro Employment: Average Weekly Hours of Production Employees, Education and Health Services: Ambulatory Health Care Services, Not seasonally adjusted, Annual",false,Annual,Hours,State and Metro Employment,Average Weekly Hours of Production Employees,Education and Health Services: Ambulatory Health Care Services,
"State_and_Metro_Employment:_All_Employees,_3-month_average_change,_seasonally_adjusted,_Total_Nonfarm,_Seasonally_adjusted,_Monthly","State and Metro Employment: All Employees, 3-month average change, seasonally adjusted, Total Nonfarm, Seasonally adjusted, Monthly",true,Monthly,Employees,State and Metro Employment,"All Employees, 3-month average change, seasonally adjusted",Total Nonfarm,
"State_and_Metro_Employment:_All_Employees,_Service-Providing,_Not_seasonally_adjusted,_Annual","State and Metro Employment: All Employees, Service-Providing, Not seasonally adjusted, Annual",false,Annual,Employees,State and Metro Employment,All Employees,Service-Providing,
"State_and_Metro_Employment:_All_Employees,_Professional_and_Business_Services:_Administrative_and_Support_Services,_Not_seasonally_adjusted,_Annual","State and Metro Employment: All Employees, Professional and Business Services: Administrative and Support Services, Not seasonally adjusted, Annual",false,Annual,Employees,State and Metro Employment,All Employees,Professional and Business Services: Administrative and Support Services,
"State_and_Metro_Employment:_Average_Weekly_Earnings_of_Production_Employees,_Non-Durable_Goods:_Food_Manufacturing,_Not_seasonally_adjusted,_Monthly","State and Metro Employment: Average Weekly Earnings of Production Employees, Non-Durable Goods: Food Manufacturing, Not seasonally adjusted, Monthly",false,Monthly,USD,State and Metro Employment,Average Weekly Earnings of Production Employees,Non-Durable Goods: Food Manufacturing,
"State_and_Metro_Employment:_All_Employees,_Wholesale_Trade:_Miscellaneous_Nondurable_Goods_Merchant_Wholesalers,_Not_seasonally_adjusted,_Monthly","State and Metro Employment: All Employees, Wholesale Trade: Miscellaneous Nondurable Goods Merchant Wholesalers, Not seasonally adjusted, Monthly",false,Monthly,Employees,State and Metro Employment,All Employees,Wholesale Trade: Miscellaneous Nondurable Goods Merchant Wholesalers,
"State_and_Metro_Employment:_All_Employees,_Durable_Goods:_Medical_Equipment_and_Supplies_Manufacturing,_Not_seasonally_adjusted,_Monthly","State and Metro Employment: All Employees, Durable Goods: Medical Equipment and Supplies Manufacturing, Not seasonally adjusted, Monthly",false,Monthly,Employees,State and Metro Employment,All Employees,Durable Goods: Medical Equipment and Supplies Manufacturing,
"State_and_Metro_Employment:_Average_Hourly_Earnings_of_Production_Employees,_Wholesale_Trade:_Machinery,_Equipment,_and_Supplies_Merchant_Wholesalers,_Not_seasonally_adjusted,_Monthly","State and Metro Employment: Average Hourly Earnings of Production Employees, Wholesale Trade: Machinery, Equipment, and Supplies Merchant Wholesalers, Not seasonally adjusted, Monthly",false,Monthly,USD,State and Metro Employment,Average Hourly Earnings of Production Employees,"Wholesale Trade: Machinery, Equipment, and Supplies Merchant Wholesalers",
"State_and_Metro_Employment:_All_Employees,_Durable_Goods:_Iron_and_Steel_Mills_and_Ferroalloy_Manufacturing,_Not_seasonally_adjusted,_Annual","State and Metro Employment: All Employees, Durable Goods: Iron and Steel Mills and Ferroalloy Manufacturing, Not seasonally adjusted, Annual",false,Annual,Employees,State and Metro Employment,All Employees,Durable Goods: Iron and Steel Mills and Ferroalloy Manufacturing,
"State_and_Metro_Employment:_Average_Weekly_Hours_of_All_Employees,_Education_and_Health_Services,_Not_seasonally_adjusted,_Annual","State and Metro Employment: Average Weekly Hours of All Employees, Education and Health Services, Not seasonally adjusted, Annual",false,Annual,Hours,State and Metro Employment,Average Weekly Hours of All Employees,Education and Health Services,
"State_and_Metro_Employment:_All_Employees,_Professional_and_Business_Services:_Other_Professional,_Scientific,_and_Technical_Services,_Not_seasonally_adjusted,_Annual","State and Metro Employment: All Employees, Professional and Business Services: Other Professional, Scientific, and Technical Services, Not seasonally adjusted, Annual",false,Annual,Employees,State and Metro Employment,All Employees,"Professional and Business Services: Other Professional, Scientific, and Technical Services",
"State_and_Metro_Employment:_All_Employees,_Education_and_Health_Services,_Seasonally_adjusted,_Monthly","State and Metro Employment: All Employees, Education and Health Services, Seasonally adjusted, Monthly",true,Monthly,Employees,State and Metro Employment,All Employees,Education and Health Services,
"State_and_Metro_Employment:_All_Employees,_Leisure_and_Hospitality:_Arts,_Entertainment,_and_Recreation,_Not_seasonally_adjusted,_Annual","State and Metro Employment: All Employees, Leisure and Hospitality: Arts, Entertainment, and Recreation, Not seasonally adjusted, Annual",false,Annual,Employees,State and Metro Employment,All Employees,"Leisure and Hospitality: Arts, Entertainment, and Recreation",
"State_and_Metro_Employment:_Average_Hourly_Earnings_of_Production_Employees,_Non-Durable_Goods:_Printing_and_Related_Support_Activities,_Not_seasonally_adjusted,_Monthly","State and Metro Employment: Average Hourly Earnings of Production Employees, Non-Durable Goods: Printing and Related Support Activities, Not seasonally adjusted, Monthly",false,Monthly,USD,State and Metro Employment,Average Hourly Earnings of Production Employees,Non-Durable Goods: Printing and Related Support Activities,
"State_and_Metro_Employment:_Average_Weekly_Earnings_of_Production_Employees,_Retail_Trade:_Building_Material_and_Garden_Equipment_and_Supplies_Dealers,_Not_seasonally_adjusted,_Annual","State and Metro Employment: Average Weekly Earnings of Production Employees, Retail Trade: Building Material and Garden Equipment and Supplies Dealers, Not seasonally adjusted, Annual",false,Annual,USD,State and Metro Employment,Average Weekly Earnings of Production Employees,Retail Trade: Building Material and Garden Equipment and Supplies Dealers,
"State_and_Metro_Employment:_All_Employees,_Other_Services:_Civic_and_Social_Organizations,_Not_seasonally_adjusted,_Annual","State and Metro Employment: All Employees, Other Services: Civic and Social Organizations, Not seasonally adjusted, Annual",false,Annual,Employees,State and Metro Employment,All Employees,Other Services: Civic and Social Organizations,
"State_and_Metro_Employment:_Average_Weekly_Earnings_of_All_Employees,_Trade,_Transportation,_and_Utilities,_Not_seasonally_adjusted,_Monthly","State and Metro Employment: Average Weekly Earnings of All Employees, Trade, Transportation, and Utilities, Not seasonally adjusted, Monthly",false,Monthly,USD,State and Metro Employment,Average Weekly Earnings of All Employees,"Trade, Transportation, and Utilities",
"State_and_Metro_Employment:_Average_Weekly_Hours_of_All_Employees,_Professional_and_Business_Services,_Not_seasonally_adjusted,_Annual","State and Metro Employment: Average Weekly Hours of All Employees, Professional and Business Services, Not seasonally adjusted, Annual",false,Annual,Hours,State and Metro Employment,Average Weekly Hours of All Employees,Professional and Business Services,
"State_and_Metro_Employment:_Average_Weekly_Hours_of_Production_Employees,_Construction:_Specialty_Trade_Contractors,_Not_seasonally_adjusted,_Monthly","State and Metro Employment: Average Weekly Hours of Production Employees, Construction: Specialty Trade Contractors, Not seasonally adjusted, Monthly",false,Monthly,Hours,State and Metro Employment,Average Weekly Hours of Production Employees,Construction: Specialty Trade Contractors,
"State_and_Metro_Employment:_Production_or_Nonsupervisory_Employees,_Information,_Not_seasonally_adjusted,_Monthly","State and Metro Employment: Production or Nonsupervisory Employees, Information, Not seasonally adjusted, Monthly",false,Monthly,Employees,State and Metro Employment,Production or Nonsupervisory Employees,Information,
"State_and_Metro_Employment:_All_Employees,_Leisure_and_Hospitality:_Other_Amusement_and_Recreation_Industries,_Not_seasonally_adjusted,_Annual","State and Metro Employment: All Employees, Leisure and Hospitality: Other Amusement and Recreation Industries, Not seasonally adjusted, Annual",false,Annual,Employees,State and Metro Employment,All Employees,Leisure and Hospitality: Other Amusement and Recreation Industries,
"State_and_Metro_Employment:_All_Employees,_Durable_Goods:_Motor_Vehicle_Body_and_Trailer_Manufacturing,_Not_seasonally_adjusted,_Annual","State and Metro Employment: All Employees, Durable Goods: Motor Vehicle Body and Trailer Manufacturing, Not seasonally adjusted, Annual",false,Annual,Employees,State and Metro Employment,All Employees,Durable Goods: Motor Vehicle Body and Trailer Manufacturing,
"State_and_Metro_Employment:_All_Employees,_Professional_and_Business_Services:_Architectural,_Engineering,_and_Related_Services,_Not_seasonally_adjusted,_Annual","State and Metro Employment: All Employees, Professional and Business Services: Architectural, Engineering, and Related Services, Not seasonally adjusted, Annual",false,Annual,Employees,State and Metro Employment,All Employees,"Professional and Business Services: Architectural, Engineering, and Related Services",
"State_and_Metro_Employment:_All_Employees,_Leisure_and_Hospitality:_Special_Food_Services,_Not_seasonally_adjusted,_Annual","State and Metro Employment: All Employees, Leisure and Hospitality: Special Food Services, Not seasonally adjusted, Annual",false,Annual,Employees,State and Metro Employment,All Employees,Leisure and Hospitality: Special Food Services,
"State_and_Metro_Employment:_All_Employees,_Transportation_and_Utilities:_Pipeline_Transportation,_Not_seasonally_adjusted,_Annual","State and Metro Employment: All Employees, Transportation and Utilities: Pipeline Transportation, Not seasonally adjusted, Annual",false,Annual,Employees,State and Metro Employment,All Employees,Transportation and Utilities: Pipeline Transportation,
"State_and_Metro_Employment:_All_Employees,_Durable_Goods:_Veneer,_Plywood,_and_Engineered_Wood_Product_Manufacturing,_Not_seasonally_adjusted,_Annual","State and Metro Employment: All Employees, Durable Goods: Veneer, Plywood, and Engineered Wood Product Manufacturing, Not seasonally adjusted, Annual",false,Annual,Employees,State and Metro Employment,All Employees,"Durable Goods: Veneer, Plywood, and Engineered Wood Product Manufacturing",
