,Title,Author,Main Genre,Sub Genre,Type,Price,Rating,No. of People rated,URLs
4569,Zen in the Martial Arts,Joe Hyams,Religion,Buddhism,Mass Market Paperback,₹406.25,4.7,935.0,https://www.amazon.in/Zen-Martial-Arts-Joe-Hyams/dp/0553275593/ref=zg_bs_g_1318190031_d_sccl_20/000-0000000-0000000?psc=1
4570,"Indians: A Brief History of a Civilization by Namit Arora: Must Read on Indian Civilisation, Glimpse of History of Indian Culture, Non-fiction by Indian Author, Penguin [Hardcover] Arora, Namit",Namit Arora,Religion,Buddhism,Hardcover,₹407.00,4.3,397.0,https://www.amazon.in/Indians-History-Civilization-Namit-Arora/dp/0670090433/ref=zg_bs_g_1318190031_d_sccl_21/000-0000000-0000000?psc=1
4571,Bharat Ka Samvidhan (भारत का संविधान),Dr. B.R. Ambedkar,Religion,Buddhism,Hardcover,₹465.00,4.2,53.0,https://www.amazon.in/Bharat-Ka-Samvidhan-%E0%A4%AD%E0%A4%BE%E0%A4%B0%E0%A4%A4-%E0%A4%B8%E0%A4%82%E0%A4%B5%E0%A4%BF%E0%A4%A7%E0%A4%BE%E0%A4%A8/dp/B096BNQ55T/ref=zg_bs_g_1318190031_d_sccl_22/000-0000000-0000000?psc=1
4572,When Things Fall Apart,Pema Chödrön,Religion,Buddhism,Paperback,₹340.00,4.5,9503.0,https://www.amazon.in/When-Things-Fall-Apart-Difficult/dp/0007183518/ref=zg_bs_g_1318190031_d_sccl_23/000-0000000-0000000?psc=1
4573,The Book of Wisdom: The Heart of Tibetan Buddhism,Osho,Religion,Buddhism,Audible Audiobook,₹586.00,4.7,201.0,https://www.amazon.in/Book-Wisdom-Heart-Tibetan-Buddhism/dp/B079RLXK6G/ref=zg_bs_g_1318190031_d_sccl_24/000-0000000-0000000?psc=1
4574,Anger: Buddhist Wisdom for Cooling the Flames,Thich Nhat Hanh,Religion,Buddhism,Paperback,₹401.00,4.5,2476.0,https://www.amazon.in/Anger-Buddhist-Wisdom-Cooling-Flames/dp/0712611819/ref=zg_bs_g_1318190031_d_sccl_25/000-0000000-0000000?psc=1
4575,INDIAN PHILOSOPHY VOLUME 1 SECOND EDITION (OIP),S. Radhakrishnan,Religion,Buddhism,Paperback,₹446.00,4.6,319.0,https://www.amazon.in/INDIAN-PHILOSOPHY-1-SECOND-OIP/dp/019569841X/ref=zg_bs_g_1318190031_d_sccl_26/000-0000000-0000000?psc=1
4576,Meditations from the Tantras: 1,Swami Satyananda Saraswati,Religion,Buddhism,Paperback,₹222.00,4.6,377.0,https://www.amazon.in/Meditations-Tantras-1-Satyananda-Saraswati/dp/8185787115/ref=zg_bs_g_1318190031_d_sccl_27/000-0000000-0000000?psc=1
4577,Fear: Essential Wisdom for Getting Through The Storm,Thich Nhat Hanh,Religion,Buddhism,Paperback,₹401.00,4.5,3558.0,https://www.amazon.in/Fear-Essential-Wisdom-Getting-Through/dp/1846043182/ref=zg_bs_g_1318190031_d_sccl_28/000-0000000-0000000?psc=1
4578,"Bhagwan Buddha Ani Tyancha Dhamma डॉ. बाबासाहेब आंबेडकर Tathagat Gautam Budha Aani Dr. Babasaheb Ambedkar Book in Marathi Books and His Dhama Buddhism गौतम बुद्ध आणि त्यांचा धम्म मराठी चरित्र पुस्तक Dharma Charitra Biography बुक्स बुक, डा बाबा साहेब, डॉ भीमराव अम्बेडकर, अंबेडकर",Babasaheb Ambedkar,Religion,Buddhism,Hardcover,₹290.00,4.6,42.0,https://www.amazon.in/%E0%A4%AC%E0%A4%BE%E0%A4%AC%E0%A4%BE%E0%A4%B8%E0%A4%BE%E0%A4%B9%E0%A5%87%E0%A4%AC-Tathagat-Babasaheb-Ambedkar-Buddhism/dp/9352203704/ref=zg_bs_g_1318190031_d_sccl_29/000-0000000-0000000?psc=1
4579,Ashtavakra Geeta (Hindi Edition),SWAMI PRAKHAR PRAGYANAND,Religion,Buddhism,Kindle Edition,₹93.45,4.5,344.0,https://www.amazon.in/ASHTAVAKRA-GEETA-Hindi-PRAKHAR-PRAGYANAND-ebook/dp/B07NT29VMF/ref=zg_bs_g_1318190031_d_sccl_30/000-0000000-0000000?psc=1
4580,Echoes from Forgotten Mountains : Tibet in War and Peace,Jamyang Norbu,Religion,Buddhism,Hardcover,₹844.00,4.8,12.0,https://www.amazon.in/Echoes-Forgotten-Mountains-Tibet-Peace/dp/0670094668/ref=zg_bs_g_1318190031_d_sccl_1/000-0000000-0000000?psc=1
4581,Don't Worry: From the million-copy bestselling author of Zen,Shunmyo Masuno,Religion,Buddhism,Hardcover,₹389.00,4.5,160.0,https://www.amazon.in/Dont-Worry-Lessons-Achieving-Calm/dp/024155182X/ref=zg_bs_g_1318190031_d_sccl_2/000-0000000-0000000?psc=1
4582,BUDDHA: Spirituality For Leadership & Success,Pranay,Religion,Buddhism,Paperback,₹139.00,4.5,335.0,https://www.amazon.in/BUDDHA-Spirituality-Leadership-Success-Pranay/dp/9390391822/ref=zg_bs_g_1318190031_d_sccl_3/000-0000000-0000000?psc=1
4583,The Buddha and His Dhamma (Hindi),Dr. B.R. Ambedkar,Religion,Buddhism,Paperback,₹250.00,4.5,483.0,https://www.amazon.in/Buddha-His-Dhamma-Hindi-First/dp/9385582089/ref=zg_bs_g_1318190031_d_sccl_4/000-0000000-0000000?psc=1
4584,How To Love,Thich Nhat Hanh,Religion,Buddhism,Paperback,₹175.00,4.7,4421.0,https://www.amazon.in/How-Love-Thich-Nhat-Hanh/dp/1846045177/ref=zg_bs_g_1318190031_d_sccl_5/000-0000000-0000000?psc=1
4585,"Art of Communicating, The",Thich Nhat Hanh,Religion,Buddhism,Paperback,₹399.00,4.6,2735.0,https://www.amazon.in/Art-Communicating-Thich-Nhat-Hanh/dp/1846044006/ref=zg_bs_g_1318190031_d_sccl_6/000-0000000-0000000?psc=1
4586,"The Heart of the Buddha's Teaching: Transforming Suffering into Peace, Joy, and Liberation",René Ruiz,Religion,Buddhism,Audible Audiobook,"₹1,005.00",4.5,6712.0,https://www.amazon.in/Heart-Buddhas-Teaching-Transforming-Liberation/dp/B079CD9W3F/ref=zg_bs_g_1318190031_d_sccl_7/000-0000000-0000000?psc=1
4587,True Love: A Practice for Awakening the Heart,Thich Nhat Hanh,Religion,Buddhism,Mass Market Paperback,₹340.00,4.7,2248.0,https://www.amazon.in/True-Love-Practice-Awakening-Heart/dp/1590304047/ref=zg_bs_g_1318190031_d_sccl_8/000-0000000-0000000?psc=1
4588,Japanese Death Poems : Written by Zen Monks and Haiku Poets on the Verge of Death,Yoel Hoffmann (Compiled by),Religion,Buddhism,Paperback,₹333.00,4.7,564.0,https://www.amazon.in/Japanese-Death-Poems-Written-Monks/dp/0804856788/ref=zg_bs_g_1318190031_d_sccl_9/000-0000000-0000000?psc=1
4589,The Tibetan Book of the Dead,W.Y. Evans Wentz,Religion,Buddhism,Paperback,₹200.00,4.3,286.0,https://www.amazon.in/Tibetan-Book-Dead-Evans-Wentz/dp/8178222515/ref=zg_bs_g_1318190031_d_sccl_10/000-0000000-0000000?psc=1
4590,Zen and the Art of Motorcycle Maintenance : 40th Anniversary Edition,Robert Pirsig,Religion,Buddhism,Paperback,₹389.00,4.5,11639.0,https://www.amazon.in/Zen-Art-Motorcycle-Maintenance-Anniversary/dp/0099598167/ref=zg_bs_g_1318190031_d_sccl_11/000-0000000-0000000?psc=1
4591,The Buddha Said: Meeting the Challenge of Life's Difficulties,Osho,Religion,Buddhism,Audible Audiobook,₹586.00,4.6,93.0,https://www.amazon.in/Buddha-Said-Meeting-Challenge-Difficulties/dp/B079K44XFM/ref=zg_bs_g_1318190031_d_sccl_12/000-0000000-0000000?psc=1
4592,Motivating Thoughts of Swami Vivekananda: Timeless Wisdom from a Spiritual Leader by Mahesh Dutt Sharma (Inspirational & Motivational Thoughts),Mahesh Dutt Sharma,Religion,Buddhism,Kindle Edition,₹57.82,4.4,308.0,https://www.amazon.in/Motivating-Thoughts-Vivekananda-Inspirational-Motivational-ebook/dp/B01HMO2LEY/ref=zg_bs_g_1318190031_d_sccl_13/000-0000000-0000000?psc=1
4593,MAIN KAUN HOON : मैं कौन हूँ? (Hindi Edition) by Swami Vivekanand: Exploring Self-Identity,SWAMI VIVEKANANDA,Religion,Buddhism,Kindle Edition,₹51.94,4.3,211.0,https://www.amazon.in/MAIN-KAUN-Hindi-SWAMI-VIVEKANANDA-ebook/dp/B07546F3YQ/ref=zg_bs_g_1318190031_d_sccl_14/000-0000000-0000000?psc=1
4594,Siddhartha (Deluxe Hardbound Edition),Hermann Hesse,Religion,Buddhism,Kindle Edition,₹16.52,4.5,19200.0,https://www.amazon.in/Siddhartha-Deluxe-Hardbound-Hermann-Hesse-ebook/dp/B09YRG1R2N/ref=zg_bs_g_1318190031_d_sccl_15/000-0000000-0000000?psc=1
4595,When Things Fall Apart: Heart Advice for Difficult Times,Pema Chodron,Religion,Buddhism,Audible Audiobook,₹539.00,4.5,9503.0,https://www.amazon.in/When-Things-Fall-Apart-Difficult/dp/B0BR622CRW/ref=zg_bs_g_1318190031_d_sccl_16/000-0000000-0000000?psc=1
4596,"NO MUD, NO LOTUS: The Art of Transforming Suffering",Hanh,Religion,Buddhism,Kindle Edition,₹235.46,4.6,5376.0,https://www.amazon.in/NO-MUD-LOTUS-Hanh-ebook/dp/B075M7775Q/ref=zg_bs_g_1318190031_d_sccl_17/000-0000000-0000000?psc=1
4597,HAPPY MONEY,Ken Honda,Religion,Buddhism,Paperback,₹314.00,4.6,1796.0,https://www.amazon.in/HAPPY-MONEY-Ken-Honda/dp/1473684153/ref=zg_bs_g_1318190031_d_sccl_18/000-0000000-0000000?psc=1
4598,The Long Road turns to Joy: A Guide To Walking Meditation [Paperback] Thich Nhat Hanh,Thich Nhat Hanh,Religion,Buddhism,Paperback,₹150.00,4.5,164.0,https://www.amazon.in/Long-Road-Turns-Joy-Meditation/dp/8176210072/ref=zg_bs_g_1318190031_d_sccl_19/000-0000000-0000000?psc=1
4599,Raja Yoga (Swami Vivekananda Motivational & Inspirational Book) - Unleashing Inner Power: Swami Vivekananda's Guide to Raja Yoga for Motivation and Inspiration,Swami Vivekananda,Religion,Buddhism,Kindle Edition,₹51.45,4.6,1005.0,https://www.amazon.in/Raja-Swami-Vivekananda-Motivational-Inspirational-ebook/dp/B085DXZXQW/ref=zg_bs_g_1318190031_d_sccl_20/000-0000000-0000000?psc=1
4600,Shlokas and Mantras - Activity Book For Kids - Illustrated Book With Engaging Activities and Sticker Sheets,Wonder House Books,Religion,Hinduism,Hardcover,₹149.00,4.7,649.0,https://www.amazon.in/Shlokas-Mantras-Activity-Illustrated-Activities/dp/935440524X/ref=zg_bs_g_1318194031_d_sccl_1/000-0000000-0000000?psc=1
4601,Shrimad Bhagwat Geeta Yatharoop,A.C. Bhaktivendanta Swami Prabhupada,Religion,Hinduism,Hardcover,₹200.00,4.8,18815.0,https://www.amazon.in/Bhagavad-Gita-Bhaktivendanta-Swami-Prabhupada/dp/938598618X/ref=zg_bs_g_1318194031_d_sccl_2/000-0000000-0000000?psc=1
4602,Shlokas and Mantras For Kids – English/Sanskrit | Illustrated Board Book for Children with Clear Text | Sanskrit Shlokas/Mantras with English Meaning | Book on India’s Rich Culture and Tradition | Round Edges | Age: 3+ | 6in. x 6in.,Wonder House Books,Religion,Hinduism,Board book,₹199.00,4.7,604.0,https://www.amazon.in/Shlokas-Mantras-Kids-Illustrated-Tradition/dp/9354405169/ref=zg_bs_g_1318194031_d_sccl_3/000-0000000-0000000?psc=1
4603,MY HANUMAN CHALISA,DEVDUTT PATTANAIK,Religion,Hinduism,Kindle Edition,₹208.95,4.6,1828.0,https://www.amazon.in/MY-HANUMAN-CHALISA-DEVDUTT-PATTANAIK-ebook/dp/B075DZPGV5/ref=zg_bs_g_1318194031_d_sccl_4/000-0000000-0000000?psc=1
4604,Bhagavad Gita [Deluxe Hardbound Edition] Sacred Text for Self-Realization and Spiritual Enlightenment | Discover Ancient Wisdom | Timeless Religious Teachings | Book on India’s Vedic Wisdom,Anonymous,Religion,Hinduism,Hardcover,₹229.00,4.7,2064.0,https://www.amazon.in/Hardbound-Self-Realization-Spiritual-Enlightenment-Religious/dp/9389432707/ref=zg_bs_g_1318194031_d_sccl_5/000-0000000-0000000?psc=1
4605,Bhagvad Gita As It Is English New Edition,A. C. Bhaktivedanta Swami Prabhupad,Religion,Hinduism,Hardcover,₹310.00,4.8,6642.0,https://www.amazon.in/Bhagavad-Gita-Original-English-As/dp/B07MDTX8BR/ref=zg_bs_g_1318194031_d_sccl_6/000-0000000-0000000?psc=1
4606,Autobiography of a Yogi (Complete Original Edition),Paramahansa Yogananda,Religion,Hinduism,Paperback,₹109.00,4.7,9948.0,https://www.amazon.in/Autobiography-Yogi-Complete-Free-CD/dp/818953551X/ref=zg_bs_g_1318194031_d_sccl_7/000-0000000-0000000?psc=1
4607,The Bhagwat Gita : Symphony of the Spirit (Hindi),RR Varma,Religion,Hinduism,Paperback,₹229.00,4.5,1900.0,https://www.amazon.in/Bhagwat-Gita-Hindi-Symphony-Spirit/dp/8172345453/ref=zg_bs_g_1318194031_d_sccl_8/000-0000000-0000000?psc=1
4608,Shrimad Bhagvad Gita - Yatharup - (Hindi Language) - [ORIGINAL - As it Is] - by ISKCON - A.C. Baktivedanta Swami Prabhupada - 2024/Ed.,A.C. Bhaktivendanta Swami Prabhupada,Religion,Hinduism,Hardcover,₹249.00,5.0,10.0,https://www.amazon.in/Shrimad-Bhagvad-Gita-C-Baktivedanta/dp/B0CRBFJ84P/ref=zg_bs_g_1318194031_d_sccl_9/000-0000000-0000000?psc=1
4609,Bhagvad Gita As It Is English New Edition,His Divine Grace A.C. Bhaktivedanta Swami Prabhupada,Religion,Hinduism,Hardcover,₹310.00,4.7,10961.0,https://www.amazon.in/Bhagvad-gita-as-english-new/dp/9384564192/ref=zg_bs_g_1318194031_d_sccl_10/000-0000000-0000000?psc=1
4610,Hanuman Chalisa - Hanuman Chalisa Pocket Size Book (Hindi & English) - Gods of India,Goswami Tulsidas,Religion,Hinduism,Hardcover,₹138.00,4.8,71.0,https://www.amazon.in/Hanuman-Chalisa-Pocket-Hindi-English/dp/9353768950/ref=zg_bs_g_1318194031_d_sccl_11/000-0000000-0000000?psc=1
4611,Sunderkand (Hindi),Goswami Tulsidas,Religion,Hinduism,Paperback,₹99.00,4.7,4200.0,https://www.amazon.in/Sunderkand-Hindi-Goswami-Tulsidas/dp/9389053056/ref=zg_bs_g_1318194031_d_sccl_12/000-0000000-0000000?psc=1
4612,Autobiography of A Yogi (Hindi),Paramahansa Yogananda,Religion,Hinduism,Paperback,₹179.00,4.6,4553.0,https://www.amazon.in/Autobiography-Yogi-HINDI-Paramahansa-Yogananda/dp/9389432472/ref=zg_bs_g_1318194031_d_sccl_13/000-0000000-0000000?psc=1
4613,"Story book: 365 Stories from the Vedas, the Upanishads and the Puranas for Children (with colourful illustrations) (365 series)",Dipavali Sen,Religion,Hinduism,Hardcover,₹492.00,4.6,1200.0,https://www.amazon.in/Stories-Upanishads-Puranas-Children-Hardcover/dp/9352768647/ref=zg_bs_g_1318194031_d_sccl_14/000-0000000-0000000?psc=1
4614,"Shri Ram Charitmanas Gita Press Ramcharitmanas, Tulsidas Krit Ramcharitmanas, Code-81,(Hardcover, Hindi, Goswami Tulsidas)",Gita Press Gorakhpur,Religion,Hinduism,Hardcover,₹330.00,4.8,1649.0,https://www.amazon.in/Charitmanas-Ramcharitmanas-Tulsidas-Code-81-Hardcover/dp/B097JNH98W/ref=zg_bs_g_1318194031_d_sccl_15/000-0000000-0000000?psc=1
4615,The Shiva Sutras,Ranjit Chaudhri,Religion,Hinduism,Paperback,₹154.25,4.7,1674.0,https://www.amazon.in/Shiva-Sutras-Ranjit-Chaudhri/dp/9389178207/ref=zg_bs_g_1318194031_d_sccl_16/000-0000000-0000000?psc=1
4616,Autobiography of a Yogi,Paramahansa Yogananda,Religion,Hinduism,Audible Audiobook,"₹1,126.00",4.6,11173.0,https://www.amazon.in/Autobiography-of-a-Yogi/dp/B079P54C5J/ref=zg_bs_g_1318194031_d_sccl_17/000-0000000-0000000?psc=1
4617,The Upanishads (Deluxe Silk Hardbound),Translated and Commentated by Swami Paramananda,Religion,Hinduism,Hardcover,₹189.00,4.3,905.0,https://www.amazon.in/Upanishads-Translated-Commentated-Swami-Paramananda/dp/9389717329/ref=zg_bs_g_1318194031_d_sccl_18/000-0000000-0000000?psc=1
4618,Bhagavad Gita As It Is MARATHI,A.C. Bhaktivedanta Swami Prabhupada,Religion,Hinduism,Hardcover,₹218.00,4.8,531.0,https://www.amazon.in/Bhagavad-MARATHI-Bhaktivedanta-Swami-Prabhupada/dp/B08TYZV12Z/ref=zg_bs_g_1318194031_d_sccl_19/000-0000000-0000000?psc=1
4619,Ramayana for Children with colourful pictures & illustrations,Team Pegasus,Religion,Hinduism,Hardcover,₹369.00,4.6,1501.0,https://www.amazon.in/Ramayana-Children-Sudha-Gupta/dp/813193702X/ref=zg_bs_g_1318194031_d_sccl_20/000-0000000-0000000?psc=1
4620,"Hanuman Chalisa Pocket Book ( Hindi, Roman Hindi) Hardbound Premium Edition in a Gift Case",Servdharm,Religion,Hinduism,Hardcover,₹253.00,4.8,613.0,https://www.amazon.in/Hanuman-Chalisa-Pocket-Hindi-Hardbound/dp/B09N9MN63S/ref=zg_bs_g_1318194031_d_sccl_21/000-0000000-0000000?psc=1
4621,Mahagatha: 100 Tales from the Puranas,Satyarth Nayak,Religion,Hinduism,Paperback,₹406.25,4.7,557.0,https://www.amazon.in/Mahagatha-Tales-Puranas-Satyarth-Nayak/dp/9356294496/ref=zg_bs_g_1318194031_d_sccl_22/000-0000000-0000000?psc=1
4622,"The Story of My Experiments With Truth: Mahatma Gandhi, An Autobiography (Hindi)",Mahatma Gandhi,Religion,Hinduism,Paperback,₹168.00,4.4,1008.0,https://www.amazon.in/Story-Experiments-Mahatma-Gandhi-Autobiography/dp/9390183502/ref=zg_bs_g_1318194031_d_sccl_23/000-0000000-0000000?psc=1
4623,Hanuman Chalisa Pocket Size Book In Hindi [Pack Of 1] - Hanuman Chalisa Book In Hindi Geeta Press - Hanuman Chalisa By Geeta Press,Hanuman chalisa,Religion,Hinduism,Paperback,₹1.00,4.7,155.0,https://www.amazon.in/Hanuman-chalisa-pocket-size-hindi/dp/B096W17WXX/ref=zg_bs_g_1318194031_d_sccl_24/000-0000000-0000000?psc=1
4624,Shrimad Bhagavad Gita For Children with colourful pictures & illustrations,Sudha Gupta,Religion,Hinduism,Hardcover,₹402.00,4.6,1106.0,https://www.amazon.in/Bhagavad-Gita-Children-Sudha-Gupta/dp/8131942473/ref=zg_bs_g_1318194031_d_sccl_25/000-0000000-0000000?psc=1
4625,Shiva Purana - English H.B.,Dreamland Publications,Religion,Hinduism,Kindle Edition,₹420.00,4.6,216.0,https://www.amazon.in/Shiva-Purana-English-Dreamland-Publications-ebook/dp/B0746GXHPF/ref=zg_bs_g_1318194031_d_sccl_26/000-0000000-0000000?psc=1
4626,The Sanatan Dharam: True Source of all Science,Vivaan Prashant Karulkar,Religion,Hinduism,Hardcover,₹399.20,5.0,5.0,https://www.amazon.in/Sanatan-Dharam-True-Source-Science/dp/B0CT5SS4FV/ref=zg_bs_g_1318194031_d_sccl_27/000-0000000-0000000?psc=1
4627,Mahabharata for Children with colourful pictures & illustrations,Team Pegasus,Religion,Hinduism,Hardcover,₹368.00,4.6,979.0,https://www.amazon.in/Mahabharata-Children-Sudha-Gupta/dp/8131937011/ref=zg_bs_g_1318194031_d_sccl_28/000-0000000-0000000?psc=1
4628,Hanuman Chalisa (Paperback),Shubha Vilas,Religion,Hinduism,Paperback,₹159.00,4.7,282.0,https://www.amazon.in/Hanuman-Chalisa-Shubha-Vilas/dp/9354405584/ref=zg_bs_g_1318194031_d_sccl_29/000-0000000-0000000?psc=1
4629,Ramrajya (Hindi),Ashutosh Rana,Religion,Hinduism,Hardcover,₹399.00,4.7,1862.0,https://www.amazon.in/%E2%80%A2-%E0%A4%B0%E0%A4%BE%E0%A4%AE%E0%A4%B0%E0%A4%BE%E0%A4%9C%E0%A5%8D%E0%A4%AF-Ramrajya-Ashutosh-Rana/dp/8194484529/ref=zg_bs_g_1318194031_d_sccl_30/000-0000000-0000000?psc=1
4630,Gita Press Durga Saptashati Book (Code 1281) (Hindi) Hardcover,Geeta press gorakhpur,Religion,Hinduism,Hardcover,₹45.00,4.7,1059.0,https://www.amazon.in/Press-Durga-Saptashati-Hindi-hardcover/dp/B098TBN7NM/ref=zg_bs_g_1318194031_d_sccl_1/000-0000000-0000000?psc=1
4631,"The Upside-Down King: Unusual Tales about Rama and Krishna [Paperback] Murty, Sudha",Sudha Murty,Religion,Hinduism,Paperback,₹162.00,4.7,2248.0,https://www.amazon.in/Upside-Down-King-Unusual-Tales-Krishna/dp/0143442333/ref=zg_bs_g_1318194031_d_sccl_2/000-0000000-0000000?psc=1
4632,Shiv Puran (Hindi),Vinay,Religion,Hinduism,Kindle Edition,₹107.71,4.3,388.0,https://www.amazon.in/Shiv-Puran-Hindi-Vinay-ebook/dp/B01M74UZ97/ref=zg_bs_g_1318194031_d_sccl_3/000-0000000-0000000?psc=1
4633,JAYA: AN ILLUSTRATED RETELLING OF THE MAHABHARATA,Devdutt Pattanaik,Religion,Hinduism,Paperback,₹250.00,4.5,5654.0,https://www.amazon.in/Jaya-Illustrated-Mahabharata-Devdutt-Pattanaik/dp/014310425X/ref=zg_bs_g_1318194031_d_sccl_4/000-0000000-0000000?psc=1
4634,"Valmiki Ramayana, The (Box Set)",Debroy Bibek,Religion,Hinduism,Hardcover,"₹1,169.00",4.7,495.0,https://www.amazon.in/Valmiki-Ramayana-Set-Vols/dp/0143441140/ref=zg_bs_g_1318194031_d_sccl_5/000-0000000-0000000?psc=1
4635,Bhavishya Malika Puran / भविष्य मालिका पुराण: 2032 से सत्य युग की शुरुआत... / 2032 se Satya Yug ki Shuruaat...,Pandit Shri Kashinath Mishr Ji,Religion,Hinduism,Paperback,₹250.00,4.0,319.0,https://www.amazon.in/Bhavishya-Malika-Puran-%E0%A4%AD%E0%A4%B5%E0%A4%BF%E0%A4%B7%E0%A5%8D%E0%A4%AF-%E0%A4%AE%E0%A4%BE%E0%A4%B2%E0%A4%BF%E0%A4%95%E0%A4%BE/dp/B0BT27525X/ref=zg_bs_g_1318194031_d_sccl_6/000-0000000-0000000?psc=1
4636,Shri Rama Koti BIG/LARGE Size [Laksha naamaalu] 1book by Saibhadrakali [Paperback] Saibhadrakali,Saibhadrakali,Religion,Hinduism,Paperback,₹130.00,4.7,167.0,https://www.amazon.in/LARGE-Laksha-naamaalu-1book-Saibhadrakali/dp/B08PZD4Q2B/ref=zg_bs_g_1318194031_d_sccl_7/000-0000000-0000000?psc=1
4637,Mahabharat: A Saga Nonpareil,Sadhguru,Religion,Hinduism,Audible Audiobook,₹938.00,0.0,0.0,https://www.amazon.in/Audible-Mahabharat-A-Saga-Nonpareil/dp/B0C54BJ7XH/ref=zg_bs_g_1318194031_d_sccl_8/000-0000000-0000000?psc=1
4638,The Bhagwat Gita,R.R. Varma,Religion,Hinduism,Paperback,₹189.00,4.6,965.0,https://www.amazon.in/Bhagwat-Gita-R-R-Varma/dp/8172344791/ref=zg_bs_g_1318194031_d_sccl_9/000-0000000-0000000?psc=1
4639,Apprenticed To A Himalayan Master: A Yog: A Yogi's Autobiography,Sri M,Religion,Hinduism,Paperback,₹334.00,4.7,4404.0,https://www.amazon.in/Apprenticed-Himalayan-Master-Yogis-Autobiography/dp/0143458582/ref=zg_bs_g_1318194031_d_sccl_10/000-0000000-0000000?psc=1
4640,"Swami Vivekanand (Set of 4 Books) (Hindi) - Karmyog, Rajyog, Gyanyog, Bhaktiyog",Swami Vivekanand,Religion,Hinduism,Paperback,₹389.00,4.6,1512.0,https://www.amazon.in/Swami-Vivekanand-Set-Books-Hindi/dp/9389643007/ref=zg_bs_g_1318194031_d_sccl_11/000-0000000-0000000?psc=1
4641,Bhagavad Gita As It Is (Kannada) - 165/-,A.C. Bhaktivedanta Swami Prabhupada,Religion,Hinduism,Hardcover,₹299.00,4.7,1081.0,https://www.amazon.in/Bhagavad-Gita-Kannada-World-Most/dp/8128300024/ref=zg_bs_g_1318194031_d_sccl_12/000-0000000-0000000?psc=1
4642,Sankshipt Shiv Puran ( Gitapress Gorakhpur ) In 4 Volumes,Geeta Press,Religion,Hinduism,Hardcover,₹330.00,4.7,1173.0,https://www.amazon.in/Sansept-Shiv-Puran-IN-HINDI/dp/8129300990/ref=zg_bs_g_1318194031_d_sccl_13/000-0000000-0000000?psc=1
4643,Shri Ramcharitmanas By Goswami Tulsidasji - With Meaning Explained In Hindi Code 82 Hardcover Best Quality Page,Gita Press Gorakhpur,Religion,Hinduism,Hardcover,₹188.00,4.7,263.0,https://www.amazon.in/Shri-Ramcharitmanas-Goswami-Tulsidasji-explained/dp/B096MFT4W8/ref=zg_bs_g_1318194031_d_sccl_14/000-0000000-0000000?psc=1
4644,AGHORA :AT THE LEFT HAND OF GOD,Robert Svobod,Religion,Hinduism,Paperback,₹256.00,4.6,1569.0,https://www.amazon.in/AGHORA-AT-LEFT-HAND-GOD/dp/8171673422/ref=zg_bs_g_1318194031_d_sccl_15/000-0000000-0000000?psc=1
4645,THE RAMAYANA : A COMPLETE RAMAYANA IN ENGLISH WITH ALL 7 KANDAS,SRI VALMIKI MUNI,Religion,Hinduism,Hardcover,₹286.00,4.7,111.0,https://www.amazon.in/RAMAYANA-COMPLETE-ENGLISH-ALL-KANDAS/dp/B09QPD4SG1/ref=zg_bs_g_1318194031_d_sccl_16/000-0000000-0000000?psc=1
4646,Shri Durga Saptashati [Hardcover] Gita Press Gorakhpur,Gita Press Gorakhpur,Religion,Hinduism,Hardcover,₹80.00,4.8,220.0,https://www.amazon.in/Durga-Saptashati-Hardcover-Press-Gorakhpur/dp/B08R65YBFG/ref=zg_bs_g_1318194031_d_sccl_17/000-0000000-0000000?psc=1
4647,"Garuda Purana and Other Hindu Ideas on Death, Rebirth and Immortality",Devdutt Pattanaik,Religion,Hinduism,Paperback,₹280.00,4.6,198.0,https://www.amazon.in/Garuda-Purana-Other-Rebirth-Immortality/dp/B0BG4RZ2PC/ref=zg_bs_g_1318194031_d_sccl_18/000-0000000-0000000?psc=1
4648,Vidur Neeti (Code 136),GEETA PRESS,Religion,Hinduism,Paperback,₹19.00,4.4,116.0,https://www.amazon.in/Vidur-Neeti-Code-136/dp/8129302160/ref=zg_bs_g_1318194031_d_sccl_19/000-0000000-0000000?psc=1
4649,AGHORA II KUNDALINI,Robert Svobod,Religion,Hinduism,Paperback,₹256.00,4.6,899.0,https://www.amazon.in/Kundalini-Aghora-Vol-Robert-Svobod/dp/8171673430/ref=zg_bs_g_1318194031_d_sccl_20/000-0000000-0000000?psc=1
4650,Secrets of Divine Love : A Spiritual Journey into the Heart of Islam,A.Helwa,Religion,Islam,Paperback,₹227.00,4.7,7216.0,https://www.amazon.in/Secrets-Divine-Love-Spiritual-Journey/dp/0143454242/ref=zg_bs_g_1318196031_d_sccl_1/000-0000000-0000000?psc=1
4651,The Holy Quran In Urdu Translation In Roman Script With Translitration & Arabic Text By Qari Faheemuddin Ahmed & Transliteration by Mohammad Abdul Haleem Eliasi,Allah SWT,Religion,Islam,Hardcover,₹341.00,4.8,222.0,https://www.amazon.in/Translation-Translitration-Faheemuddin-Transliteration-Mohammad/dp/B09DG8477L/ref=zg_bs_g_1318196031_d_sccl_2/000-0000000-0000000?psc=1
4652,Peer e Kamil پیر کامل,Umera Ahmad,Religion,Islam,Paperback,₹389.00,4.7,284.0,https://www.amazon.in/Peer-Kamil-Umera-Ahmad/dp/9383582421/ref=zg_bs_g_1318196031_d_sccl_3/000-0000000-0000000?psc=1
